    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  3.58363E-14  9.90149E-14  3.63873E-15  1.98030E-13  7.27746E-15  9.99054E-14  3.67146E-15  5.73046E-14  2.10591E-15  9.99054E-14  3.67146E-15  5.14231E-13  1.88976E-14  2.52268E-14  9.27069E-16  3.51275E-14  1.29091E-15  1.07385E-14  3.94633E-16  3.51275E-14  1.29091E-15  2.52268E-14  9.27069E-16  2.62894E-13  9.66118E-15
  -49.5000  7.36887E-14  1.06717E-13  7.56052E-15  2.13435E-13  1.51210E-14  1.02894E-13  7.45274E-15  6.07030E-14  4.33670E-15  1.02894E-13  7.45274E-15  5.32982E-13  3.84844E-14  2.67184E-14  1.90895E-15  3.85188E-14  2.70645E-15  1.13262E-14  8.10863E-16  3.85188E-14  2.70645E-15  2.67184E-14  1.90895E-15  2.83601E-13  2.00833E-14
  -49.0000  1.14409E-13  1.16961E-13  1.18588E-14  2.33923E-13  2.37175E-14  1.08106E-13  1.14255E-14  6.54448E-14  6.74175E-15  1.08106E-13  1.14255E-14  5.63312E-13  5.91857E-14  2.87883E-14  2.96690E-15  4.28470E-14  4.28105E-15  1.21350E-14  1.25682E-15  4.28470E-14  4.28105E-15  2.87883E-14  2.96690E-15  3.10811E-13  3.15054E-14
  -48.5000  1.58925E-13  1.30095E-13  1.66397E-14  2.60191E-13  3.32794E-14  1.15602E-13  1.56738E-14  7.16709E-14  9.37561E-15  1.15602E-13  1.56738E-14  6.05748E-13  8.14465E-14  3.14913E-14  4.12419E-15  4.82720E-14  6.05501E-15  1.31838E-14  1.74131E-15  4.82720E-14  6.05501E-15  3.14913E-14  4.12419E-15  3.45421E-13  4.41994E-14
  -48.0000  2.08299E-13  1.46629E-13  2.20282E-14  2.93258E-13  4.40564E-14  1.25583E-13  2.02889E-14  7.96037E-14  1.23010E-14  1.25583E-13  2.02889E-14  6.61538E-13  1.05758E-13  3.49174E-14  5.40738E-15  5.50119E-14  8.07666E-15  1.45037E-14  2.27431E-15  5.50119E-14  8.07666E-15  3.49174E-14  5.40738E-15  3.88725E-13  5.84848E-14
  -47.5000  2.63779E-13  1.67263E-13  2.81750E-14  3.34527E-13  5.63501E-14  1.38394E-13  2.53748E-14  8.95574E-14  1.55922E-14  1.38394E-13  2.53748E-14  7.32689E-13  1.32683E-13  3.91959E-14  6.84780E-15  6.33544E-14  1.04049E-14  1.61396E-14  2.86743E-15  6.33544E-14  1.04049E-14  3.91959E-14  6.84780E-15  4.42480E-13  7.47456E-14
  -47.0000  3.26872E-13  1.92923E-13  3.52648E-14  3.85846E-13  7.05296E-14  1.54526E-13  3.10535E-14  1.01953E-13  1.93389E-14  1.54526E-13  3.10535E-14  8.22012E-13  1.62892E-13  4.44997E-14  8.48313E-15  7.36742E-14  1.31124E-14  1.81514E-14  3.53449E-15  7.36742E-14  1.31124E-14  4.44997E-14  8.48313E-15  5.08998E-13  9.34510E-14
  -46.5000  3.99421E-13  2.24814E-13  4.35266E-14  4.49629E-13  8.70532E-14  1.74643E-13  3.74715E-14  1.17343E-13  2.36512E-14  1.74643E-13  3.74715E-14  9.33258E-13  1.97188E-13  5.10543E-14  1.03593E-14  8.64551E-14  1.62895E-14  2.06164E-14  4.29212E-15  8.64551E-14  1.62895E-14  5.10543E-14  1.03593E-14  5.91270E-13  1.15180E-13
  -46.0000  4.83711E-13  2.64518E-13  5.32474E-14  5.29035E-13  1.06495E-13  1.99626E-13  4.48076E-14  1.36451E-13  2.86656E-14  1.99626E-13  4.48076E-14  1.07141E-12  2.36562E-13  5.91550E-14  1.25333E-14  1.02326E-13  2.00499E-14  2.36352E-14  5.16070E-15  1.02326E-13  2.00499E-14  5.91550E-14  1.25333E-14  6.93195E-13  1.40654E-13
  -45.5000  5.82602E-13  3.14095E-13  6.47902E-14  6.28191E-13  1.29580E-13  2.30628E-13  5.32830E-14  1.60215E-13  3.45534E-14  2.30628E-13  5.32830E-14  1.24294E-12  2.82239E-13  6.91860E-14  1.50758E-14  1.22103E-13  2.45371E-14  2.73380E-14  6.16536E-15  1.22103E-13  2.45371E-14  6.91860E-14  1.50758E-14  8.19831E-13  1.70782E-13
  -45.0000  6.99707E-13  3.76248E-13  7.86171E-14  7.52497E-13  1.57234E-13  2.69152E-13  6.31742E-14  1.89859E-13  4.15306E-14  2.69152E-13  6.31742E-14  1.45633E-12  3.35758E-13  8.16463E-14  1.80762E-14  1.46849E-13  2.99338E-14  3.18921E-14  7.33737E-15  1.46849E-13  2.99338E-14  8.16463E-14  1.80762E-14  9.77767E-13  2.06715E-13
  -44.5000  8.39621E-13  4.54521E-13  9.53204E-14  9.09042E-13  1.90641E-13  3.17159E-13  7.48296E-14  2.26985E-13  4.98722E-14  3.17159E-13  7.48296E-14  1.72261E-12  3.99063E-13  9.71842E-14  2.16477E-14  1.77959E-13  3.64736E-14  3.75121E-14  8.71591E-15  1.77959E-13  3.64736E-14  9.71842E-14  2.16477E-14  1.17560E-12  2.49917E-13
  -44.0000  1.00823E-12  5.53614E-13  1.15665E-13  1.10723E-12  2.31331E-13  3.77229E-13  8.86925E-14  2.73697E-13  5.99303E-14  3.77229E-13  8.86925E-14  2.05631E-12  4.74631E-13  1.16656E-13  2.59347E-14  2.17267E-13  4.44581E-14  4.44802E-14  1.03505E-14  2.17267E-13  4.44581E-14  1.16656E-13  2.59347E-14  1.42465E-12  3.02272E-13
  -43.5000  1.21315E-12  6.79786E-13  1.40647E-13  1.35957E-12  2.81294E-13  4.52766E-13  1.05331E-13  3.32782E-13  7.21599E-14  4.52766E-13  1.05331E-13  2.47663E-12  5.65645E-13  1.41189E-13  3.11233E-14  2.67208E-13  5.42778E-14  5.31637E-14  1.23043E-14  2.67208E-13  5.42778E-14  1.41189E-13  3.11233E-14  1.73992E-12  3.66213E-13
  -43.0000  1.46426E-12  8.41380E-13  1.71567E-13  1.68276E-12  3.43134E-13  5.48252E-13  1.25479E-13  4.07934E-13  8.71512E-14  5.48252E-13  1.25479E-13  3.00888E-12  6.76219E-13  1.72272E-13  3.74542E-14  3.31019E-13  6.64425E-14  6.40413E-14  1.46577E-14  3.31019E-13  6.64425E-14  1.72272E-13  3.74542E-14  2.14124E-12  4.44902E-13
