    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.31463E-04  1.01283E-03  3.72206E-05  2.02565E-03  7.44413E-05  1.19071E-04  4.37578E-06  1.19127E-04  4.37784E-06  1.19071E-04  4.37578E-06  7.14539E-04  2.62588E-05  2.34412E-05  8.61450E-07  2.34759E-05  8.62725E-07  2.34285E-05  8.60982E-07  2.34759E-05  8.62725E-07  2.34412E-05  8.61450E-07  2.34526E-04  8.61866E-06  4.30373E-05  1.58159E-06  4.30485E-05  1.58200E-06  4.30403E-05  1.58170E-06  4.30362E-05  1.58155E-06  4.30403E-05  1.58170E-06  4.30485E-05  1.58200E-06  4.30311E-05  1.58136E-06  6.02564E-04  2.21438E-05
  -49.5000  2.55097E-04  8.79974E-04  6.95591E-05  1.75995E-03  1.39118E-04  1.24849E-04  8.96390E-06  1.24910E-04  8.96821E-06  1.24849E-04  8.96390E-06  7.49217E-04  5.37920E-05  2.37691E-05  1.73495E-06  2.38055E-05  1.73756E-06  2.37558E-05  1.73399E-06  2.38055E-05  1.73756E-06  2.37691E-05  1.73495E-06  2.37810E-04  1.73580E-05  4.40887E-05  3.20182E-06  4.41005E-05  3.20267E-06  4.40919E-05  3.20205E-06  4.40877E-05  3.20174E-06  4.40919E-05  3.20205E-06  4.41005E-05  3.20267E-06  4.40823E-05  3.20136E-06  6.17287E-04  4.48287E-05
  -49.0000  3.72858E-04  7.72000E-04  9.79296E-05  1.54400E-03  1.95859E-04  1.31083E-04  1.37811E-05  1.31150E-04  1.37879E-05  1.31083E-04  1.37811E-05  7.86633E-04  8.27003E-05  2.41074E-05  2.62088E-06  2.41455E-05  2.62489E-06  2.40934E-05  2.61941E-06  2.41455E-05  2.62489E-06  2.41074E-05  2.62088E-06  2.41198E-04  2.62219E-05  4.51830E-05  4.86226E-06  4.51952E-05  4.86356E-06  4.51863E-05  4.86262E-06  4.51818E-05  4.86215E-06  4.51863E-05  4.86262E-06  4.51952E-05  4.86356E-06  4.51763E-05  4.86156E-06  6.32608E-04  6.80766E-05
  -48.5000  4.86286E-04  6.83104E-04  1.23033E-04  1.36621E-03  2.46066E-04  1.37821E-04  1.88459E-05  1.37893E-04  1.88554E-05  1.37821E-04  1.88459E-05  8.27070E-04  1.13095E-04  2.44562E-05  3.51963E-06  2.44963E-05  3.52511E-06  2.44416E-05  3.51762E-06  2.44963E-05  3.52511E-06  2.44562E-05  3.51963E-06  2.44693E-04  3.52142E-05  4.63219E-05  6.56456E-06  4.63346E-05  6.56633E-06  4.63254E-05  6.56504E-06  4.63207E-05  6.56440E-06  4.63254E-05  6.56504E-06  4.63346E-05  6.56633E-06  4.63149E-05  6.56360E-06  6.48555E-04  9.19106E-05
  -48.0000  5.96625E-04  6.09063E-04  1.45416E-04  1.21813E-03  2.90832E-04  1.45118E-04  2.41789E-05  1.45197E-04  2.41913E-05  1.45118E-04  2.41789E-05  8.70865E-04  1.45098E-04  2.48167E-05  4.43162E-06  2.48588E-05  4.43866E-06  2.48014E-05  4.42905E-06  2.48588E-05  4.43866E-06  2.48167E-05  4.43162E-06  2.48305E-04  4.43392E-05  4.75093E-05  8.31050E-06  4.75226E-05  8.31275E-06  4.75129E-05  8.31111E-06  4.75081E-05  8.31029E-06  4.75129E-05  8.31111E-06  4.75226E-05  8.31275E-06  4.75021E-05  8.30927E-06  6.65181E-04  1.16356E-04
  -47.5000  7.04903E-04  5.46751E-04  1.65509E-04  1.09350E-03  3.31017E-04  1.53035E-04  2.98028E-05  1.53122E-04  2.98184E-05  1.53035E-04  2.98028E-05  9.18383E-04  1.78848E-04  2.51877E-05  5.35725E-06  2.52319E-05  5.36591E-06  2.51716E-05  5.35409E-06  2.52319E-05  5.36591E-06  2.51877E-05  5.35725E-06  2.52022E-04  5.36009E-05  4.87453E-05  1.01019E-05  4.87592E-05  1.01046E-05  4.87492E-05  1.01026E-05  4.87441E-05  1.01016E-05  4.87492E-05  1.01026E-05  4.87592E-05  1.01046E-05  4.87379E-05  1.01004E-05  6.82488E-04  1.41437E-04
  -47.0000  8.11996E-04  4.93798E-04  1.83655E-04  9.87595E-04  3.67311E-04  1.61655E-04  3.57435E-05  1.61751E-04  3.57627E-05  1.61655E-04  3.57435E-05  9.70123E-04  2.14500E-04  2.55716E-05  6.29699E-06  2.56181E-05  6.30736E-06  2.55547E-05  6.29321E-06  2.56181E-05  6.30736E-06  2.55716E-05  6.29699E-06  2.55868E-04  6.30038E-05  5.00360E-05  1.19406E-05  5.00505E-05  1.19439E-05  5.00401E-05  1.19415E-05  5.00348E-05  1.19403E-05  5.00401E-05  1.19415E-05  5.00505E-05  1.19439E-05  5.00282E-05  1.19389E-05  7.00560E-04  1.67182E-04
  -46.5000  9.18668E-04  4.48441E-04  2.00135E-04  8.96882E-04  4.00270E-04  1.71059E-04  4.20298E-05  1.71166E-04  4.20529E-05  1.71059E-04  4.20298E-05  1.02657E-03  2.52225E-04  2.59681E-05  7.25130E-06  2.60171E-05  7.26347E-06  2.59504E-05  7.24687E-06  2.60171E-05  7.26347E-06  2.59681E-05  7.25130E-06  2.59841E-04  7.25528E-05  5.13832E-05  1.38289E-05  5.13984E-05  1.38328E-05  5.13875E-05  1.38300E-05  5.13820E-05  1.38286E-05  5.13875E-05  1.38300E-05  5.13984E-05  1.38328E-05  5.13751E-05  1.38269E-05  7.19424E-04  1.93620E-04
  -46.0000  1.02561E-03  4.09307E-04  2.15177E-04  8.18615E-04  4.30354E-04  1.81344E-04  4.86941E-05  1.81463E-04  4.87215E-05  1.81344E-04  4.86941E-05  1.08830E-03  2.92220E-04  2.63776E-05  8.22066E-06  2.64292E-05  8.23473E-06  2.63590E-05  8.21555E-06  2.64292E-05  8.23473E-06  2.63776E-05  8.22066E-06  2.63946E-04  8.22527E-05  5.27902E-05  1.57689E-05  5.28061E-05  1.57734E-05  5.27947E-05  1.57702E-05  5.27889E-05  1.57686E-05  5.27947E-05  1.57702E-05  5.28061E-05  1.57734E-05  5.27818E-05  1.57666E-05  7.39125E-04  2.20782E-04
  -45.5000  1.13345E-03  3.75324E-04  2.28970E-04  7.50648E-04  4.57940E-04  1.92623E-04  5.57729E-05  1.92755E-04  5.58051E-05  1.92623E-04  5.57729E-05  1.15600E-03  3.34702E-04  2.68006E-05  9.20557E-06  2.68549E-05  9.22163E-06  2.67810E-05  9.19973E-06  2.68549E-05  9.22163E-06  2.68006E-05  9.20557E-06  2.68184E-04  9.21082E-05  5.42606E-05  1.77630E-05  5.42772E-05  1.77680E-05  5.42653E-05  1.77644E-05  5.42592E-05  1.77625E-05  5.42653E-05  1.77644E-05  5.42772E-05  1.77680E-05  5.42518E-05  1.77603E-05  7.59713E-04  2.48701E-04
  -45.0000  1.24280E-03  3.45626E-04  2.41671E-04  6.91252E-04  4.83343E-04  2.05032E-04  6.33077E-05  2.05179E-04  6.33453E-05  2.05032E-04  6.33077E-05  1.23049E-03  3.79921E-04  2.72374E-05  1.02065E-05  2.72947E-05  1.02247E-05  2.72168E-05  1.01999E-05  2.72947E-05  1.02247E-05  2.72374E-05  1.02065E-05  2.72562E-04  1.02125E-04  5.57981E-05  1.98135E-05  5.58155E-05  1.98192E-05  5.58031E-05  1.98151E-05  5.57968E-05  1.98130E-05  5.58031E-05  1.98151E-05  5.58155E-05  1.98192E-05  5.57890E-05  1.98105E-05  7.81242E-04  2.77411E-04
  -44.5000  1.35425E-03  3.19522E-04  2.53414E-04  6.39043E-04  5.06827E-04  2.18734E-04  7.13460E-05  2.18899E-04  7.13897E-05  2.18734E-04  7.13460E-05  1.31273E-03  4.28164E-04  2.76896E-05  1.12241E-05  2.77501E-05  1.12445E-05  2.76680E-05  1.12167E-05  2.77501E-05  1.12445E-05  2.76896E-05  1.12241E-05  2.77095E-04  1.12308E-04  5.74085E-05  2.19233E-05  5.74267E-05  2.19296E-05  5.74137E-05  2.19250E-05  5.74071E-05  2.19227E-05  5.74137E-05  2.19250E-05  5.74267E-05  2.19296E-05  5.73990E-05  2.19199E-05  8.03790E-04  3.06950E-04
  -44.0000  1.46839E-03  2.96470E-04  2.64309E-04  5.92940E-04  5.28617E-04  2.33910E-04  7.99421E-05  2.34095E-04  7.99925E-05  2.33910E-04  7.99421E-05  1.40383E-03  4.79753E-04  2.81571E-05  1.22588E-05  2.82210E-05  1.22816E-05  2.81343E-05  1.22506E-05  2.82210E-05  1.22816E-05  2.81571E-05  1.22588E-05  2.81781E-04  1.22663E-04  5.90951E-05  2.40950E-05  5.91142E-05  2.41020E-05  5.91007E-05  2.40969E-05  5.90937E-05  2.40944E-05  5.91007E-05  2.40969E-05  5.91142E-05  2.41020E-05  5.90852E-05  2.40912E-05  8.27408E-04  3.37357E-04
  -43.5000  1.58584E-03  2.76023E-04  2.74452E-04  5.52046E-04  5.48905E-04  2.50777E-04  8.91580E-05  2.50986E-04  8.92161E-05  2.50777E-04  8.91580E-05  1.50508E-03  5.35064E-04  2.86407E-05  1.33114E-05  2.87082E-05  1.33366E-05  2.86167E-05  1.33023E-05  2.87082E-05  1.33366E-05  2.86407E-05  1.33114E-05  2.86629E-04  1.33196E-04  6.08636E-05  2.63317E-05  6.08836E-05  2.63394E-05  6.08695E-05  2.63338E-05  6.08622E-05  2.63310E-05  6.08695E-05  2.63338E-05  6.08836E-05  2.63394E-05  6.08533E-05  2.63275E-05  8.52171E-04  3.68674E-04
  -43.0000  1.70724E-03  2.57809E-04  2.83927E-04  5.15618E-04  5.67853E-04  2.69600E-04  9.90656E-05  2.69837E-04  9.91324E-05  2.69600E-04  9.90656E-05  1.61807E-03  5.94527E-04  2.91412E-05  1.43823E-05  2.92126E-05  1.44101E-05  2.91158E-05  1.43723E-05  2.92126E-05  1.44101E-05  2.91412E-05  1.43823E-05  2.91647E-04  1.43914E-04  6.27191E-05  2.86365E-05  6.27402E-05  2.86451E-05  6.27253E-05  2.86390E-05  6.27177E-05  2.86358E-05  6.27253E-05  2.86390E-05  6.27402E-05  2.86451E-05  6.27084E-05  2.86320E-05  8.78152E-04  4.00945E-04
  -42.5000  1.83329E-03  2.41517E-04  2.92802E-04  4.83033E-04  5.85604E-04  2.90704E-04  1.09749E-04  2.90975E-04  1.09826E-04  2.90704E-04  1.09749E-04  1.74477E-03  6.58646E-04  2.96596E-05  1.54723E-05  2.97352E-05  1.55029E-05  2.96328E-05  1.54612E-05  2.97352E-05  1.55029E-05  2.96596E-05  1.54723E-05  2.96845E-04  1.54823E-04  6.46682E-05  3.10131E-05  6.46903E-05  3.10224E-05  6.46748E-05  3.10157E-05  6.46667E-05  3.10123E-05  6.46748E-05  3.10157E-05  6.46903E-05  3.10224E-05  6.46570E-05  3.10081E-05  9.05444E-04  4.34220E-04
  -42.0000  1.96477E-03  2.26896E-04  3.01140E-04  4.53792E-04  6.02281E-04  3.14468E-04  1.21305E-04  3.14778E-04  1.21393E-04  3.14468E-04  1.21305E-04  1.88743E-03  7.28008E-04  3.01961E-05  1.65819E-05  3.02762E-05  1.66155E-05  3.01678E-05  1.65699E-05  3.02762E-05  1.66155E-05  3.01961E-05  1.65819E-05  3.02225E-04  1.65930E-04  6.67165E-05  3.34648E-05  6.67396E-05  3.34751E-05  6.67234E-05  3.34678E-05  6.67149E-05  3.34640E-05  6.67234E-05  3.34678E-05  6.67396E-05  3.34751E-05  6.67047E-05  3.34595E-05  9.34124E-04  4.68548E-04
  -41.5000  2.10252E-03  2.13733E-04  3.08995E-04  4.27467E-04  6.17990E-04  3.41357E-04  1.33850E-04  3.41715E-04  1.33951E-04  3.41357E-04  1.33850E-04  2.04886E-03  8.03302E-04  3.07523E-05  1.77121E-05  3.08372E-05  1.77488E-05  3.07224E-05  1.76989E-05  3.08372E-05  1.77488E-05  3.07523E-05  1.77121E-05  3.07803E-04  1.77241E-04  6.88721E-05  3.59958E-05  6.88965E-05  3.60070E-05  6.88795E-05  3.59990E-05  6.88705E-05  3.59950E-05  6.88795E-05  3.59990E-05  6.88965E-05  3.60070E-05  6.88599E-05  3.59900E-05  9.64309E-04  5.03986E-04
