    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.88547E-14  4.42418E-14  1.62586E-15  8.84836E-14  3.25171E-15  1.00878E-14  3.70718E-16  6.30079E-14  2.31550E-15  1.00878E-14  3.70718E-16  1.66367E-13  6.11387E-15  9.41054E-15  3.45831E-16  1.02850E-14  3.77965E-16  3.77403E-14  1.38693E-15  1.02850E-14  3.77965E-16  9.41054E-15  3.45831E-16  1.54263E-13  5.66904E-15  4.10900E-15  1.51003E-16  2.66511E-15  9.79409E-17  1.09191E-14  4.01269E-16  9.22582E-15  3.39043E-16  1.09191E-14  4.01269E-16  2.66511E-15  9.79409E-17  1.14722E-14  4.21594E-16  1.03951E-13  3.82012E-15
  -49.5000  3.92239E-14  4.38500E-14  3.23732E-15  8.77001E-14  6.47463E-15  1.16046E-14  7.97181E-16  7.00788E-14  4.89085E-15  1.16046E-14  7.97181E-16  1.86576E-13  1.29704E-14  1.04112E-14  7.28436E-16  1.09893E-14  7.81813E-16  4.12294E-14  2.90208E-15  1.09893E-14  7.81813E-16  1.04112E-14  7.28436E-16  1.68061E-13  1.18452E-14  4.38920E-15  3.12303E-16  2.82121E-15  2.01618E-16  1.15738E-14  8.26596E-16  1.01700E-14  7.12785E-16  1.15738E-14  8.26596E-16  2.82121E-15  2.01618E-16  1.26195E-14  8.85353E-16  1.11937E-13  7.93374E-15
  -49.0000  6.15790E-14  4.45156E-14  4.87323E-15  8.90312E-14  9.74647E-15  1.35467E-14  1.29501E-15  7.89403E-14  7.79185E-15  1.35467E-14  1.29501E-15  2.12067E-13  2.07637E-14  1.16543E-14  1.15672E-15  1.18600E-14  1.21766E-15  4.56125E-14  4.57831E-15  1.18600E-14  1.21766E-15  1.16543E-14  1.15672E-15  1.85282E-13  1.86541E-14  4.73070E-15  4.86153E-16  3.01531E-15  3.12429E-16  1.24129E-14  1.28276E-15  1.13387E-14  1.12948E-15  1.24129E-14  1.28276E-15  3.01531E-15  3.12429E-16  1.40404E-14  1.40133E-15  1.21933E-13  1.24147E-14
  -48.5000  8.64677E-14  4.61945E-14  6.57085E-15  9.23889E-14  1.31417E-14  1.60318E-14  1.88417E-15  8.99897E-14  1.10989E-14  1.60318E-14  1.88417E-15  2.44106E-13  2.97345E-14  1.31875E-14  1.64135E-15  1.29199E-14  1.69245E-15  5.10467E-14  6.45424E-15  1.29199E-14  1.69245E-15  1.31875E-14  1.64135E-15  2.06523E-13  2.62437E-14  5.14111E-15  6.75086E-16  3.25168E-15  4.31926E-16  1.34584E-14  1.77735E-15  1.27729E-14  1.59887E-15  1.34584E-14  1.77735E-15  3.25168E-15  4.31926E-16  1.57838E-14  1.98137E-15  1.34236E-13  1.73478E-14
  -48.0000  1.14545E-13  4.89177E-14  8.36854E-15  9.78353E-14  1.67371E-14  1.92197E-14  2.59048E-15  1.03753E-13  1.49118E-14  1.92197E-14  2.59048E-15  2.84384E-13  4.01854E-14  1.50733E-14  2.19529E-15  1.41983E-14  2.21423E-15  5.77401E-14  8.57615E-15  1.41983E-14  2.21423E-15  1.50733E-14  2.19529E-15  2.32567E-13  3.47904E-14  5.63021E-15  8.81992E-16  3.53589E-15  5.61868E-16  1.47401E-14  2.31904E-15  1.45256E-14  2.13268E-15  1.47401E-14  2.31904E-15  3.53589E-15  5.61868E-16  1.79136E-14  2.63969E-15  1.49243E-13  2.28323E-14
  -47.5000  1.46613E-13  5.27832E-14  1.03083E-14  1.05566E-13  2.06166E-14  2.33268E-14  3.44773E-15  1.20921E-13  1.93555E-14  2.33268E-14  3.44773E-15  3.35150E-13  5.25020E-14  1.73924E-14  2.83445E-15  1.57324E-14  2.79239E-15  6.59623E-14  1.10002E-14  1.57324E-14  2.79239E-15  1.73924E-14  2.83445E-15  2.64424E-13  4.45078E-14  6.21022E-15  1.11021E-15  3.87501E-15  7.04271E-16  1.62975E-14  2.91796E-15  1.66649E-14  2.74510E-15  1.62975E-14  2.91796E-15  3.87501E-15  7.04271E-16  2.05112E-14  3.39346E-15  1.67463E-13  2.89865E-14
  -47.0000  1.83667E-13  5.79605E-14  1.24383E-14  1.15921E-13  2.48766E-14  2.86483E-14  4.50053E-15  1.42413E-13  2.45891E-14  2.86483E-14  4.50053E-15  3.99420E-13  6.71804E-14  2.02494E-14  3.57860E-15  1.75692E-14  3.43805E-15  7.60632E-14  1.37955E-14  1.75692E-14  3.43805E-15  2.02494E-14  3.57860E-15  3.03401E-13  5.56576E-14  6.89639E-15  1.36365E-15  4.27795E-15  8.61483E-16  1.81815E-14  3.58612E-15  1.92783E-14  3.45357E-15  1.81815E-14  3.58612E-15  4.27795E-15  8.61483E-16  2.36816E-14  4.26374E-15  1.89550E-13  3.59523E-14
  -46.5000  2.26963E-13  6.47012E-14  1.48160E-14  1.29402E-13  2.96321E-14  3.55865E-14  5.80831E-15  1.69445E-13  3.08161E-14  3.55865E-14  5.80831E-15  4.81236E-13  8.48655E-14  2.37788E-14  4.45245E-15  1.97682E-14  4.16451E-15  8.84929E-14  1.70475E-14  1.97682E-14  4.16451E-15  2.37788E-14  4.45245E-15  3.51174E-13  6.85630E-14  7.70777E-15  1.64691E-15  4.75601E-15  1.03626E-15  2.04576E-14  4.33792E-15  2.24770E-14  4.27958E-15  2.04576E-14  4.33792E-15  4.75601E-15  1.03626E-15  2.75582E-14  5.27649E-15  2.16340E-13  4.39027E-14
  -46.0000  2.78102E-13  7.33557E-14  1.75118E-14  1.46711E-13  3.50236E-14  4.46964E-14  7.45087E-15  2.03636E-13  3.82996E-14  4.46964E-14  7.45087E-15  5.86057E-13  1.06403E-13  2.81553E-14  5.48714E-15  2.24030E-14  4.98781E-15  1.03833E-13  2.08633E-14  2.24030E-14  4.98781E-15  2.81553E-14  5.48714E-15  4.09898E-13  8.36264E-14  8.66758E-15  1.96543E-15  5.32295E-15  1.23188E-15  2.32085E-14  5.19082E-15  2.64037E-14  5.24990E-15  2.32085E-14  5.19082E-15  5.32295E-15  1.23188E-15  3.23116E-14  6.46391E-15  2.48892E-13  5.30493E-14
  -45.5000  3.39143E-13  8.44016E-14  2.06135E-14  1.68803E-13  4.12270E-14  5.67491E-14  9.53637E-15  2.47155E-13  4.73824E-14  5.67491E-14  9.53637E-15  7.21307E-13  1.32910E-13  3.36062E-14  6.72214E-15  2.55647E-14  5.92729E-15  1.22833E-13  2.53774E-14  2.55647E-14  5.92729E-15  3.36062E-14  6.72214E-15  4.82350E-13  1.01352E-13  9.80410E-15  2.32573E-15  5.99547E-15  1.45221E-15  2.65383E-14  6.16608E-15  3.12410E-14  6.39799E-15  2.65383E-14  6.16608E-15  5.99547E-15  1.45221E-15  3.81606E-14  7.86629E-15  2.88547E-13  6.36532E-14
