    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
   10.0000  3.54188E-02  2.16755E-01  1.59312E-03  4.33510E-01  3.18624E-03  1.40040E-01  1.02927E-03  1.82001E-01  1.33769E-03  1.86341E-01  1.36958E-03  1.01677E+00  7.47309E-03  2.34601E-01  1.72429E-03  1.70861E-01  1.25581E-03  3.15295E-01  2.31738E-03  2.18709E-01  1.60748E-03  2.00493E-01  1.47359E-03  2.27992E+00  1.67571E-02  6.55035E-02  4.81442E-04  6.84992E-02  5.03460E-04  9.83676E-02  7.22988E-04  9.61663E-02  7.06810E-04  7.21310E-02  5.30153E-04  5.37641E-02  3.95159E-04  8.99587E-02  6.61184E-04  1.08878E+00  8.00239E-03
   10.1000  7.09472E-02  2.16437E-01  3.18391E-03  4.32875E-01  6.36781E-03  1.39259E-01  2.05281E-03  1.82698E-01  2.68049E-03  1.87657E-01  2.74884E-03  1.01923E+00  1.49643E-02  2.34664E-01  3.44903E-03  1.68961E-01  2.49765E-03  3.18293E-01  4.65679E-03  2.16151E-01  3.19616E-03  1.99006E-01  2.93626E-03  2.27415E+00  3.34718E-02  6.64173E-02  9.69600E-04  6.86970E-02  1.00837E-03  1.00468E-01  1.46141E-03  9.81824E-02  1.42844E-03  7.36186E-02  1.07124E-03  5.44594E-02  7.95428E-04  9.19752E-02  1.33719E-03  1.10763E+00  1.61434E-02
   10.2000  1.06593E-01  2.16160E-01  4.77266E-03  4.32321E-01  9.54531E-03  1.38829E-01  3.07318E-03  1.83428E-01  4.02866E-03  1.88789E-01  4.13641E-03  1.02209E+00  2.24765E-02  2.34908E-01  5.17557E-03  1.67154E-01  3.72621E-03  3.21173E-01  7.01736E-03  2.13677E-01  4.76666E-03  1.97698E-01  4.38932E-03  2.26922E+00  5.01502E-02  6.73320E-02  1.46448E-03  6.88469E-02  1.51439E-03  1.02527E-01  2.21497E-03  1.00130E-01  2.16438E-03  7.51173E-02  1.62334E-03  5.51860E-02  1.20104E-03  9.40023E-02  2.02809E-03  1.12628E+00  2.44214E-02
   10.3000  1.42365E-01  2.15934E-01  6.35974E-03  4.31868E-01  1.27195E-02  1.38730E-01  4.09283E-03  1.84189E-01  5.38243E-03  1.89726E-01  5.53087E-03  1.02529E+00  3.00123E-02  2.35325E-01  6.90518E-03  1.65438E-01  4.94215E-03  3.23916E-01  9.39810E-03  2.11287E-01  6.31960E-03  1.96578E-01  5.83414E-03  2.26509E+00  6.67983E-02  6.82404E-02  1.96604E-03  6.89571E-02  2.02121E-03  1.04538E-01  2.98331E-03  1.02000E-01  2.91407E-03  7.66273E-02  2.18654E-03  5.59464E-02  1.61224E-03  9.60452E-02  2.73401E-03  1.14471E+00  3.28349E-02
   10.4000  1.78268E-01  2.15770E-01  7.94562E-03  4.31540E-01  1.58912E-02  1.38941E-01  5.11403E-03  1.84980E-01  6.74201E-03  1.90461E-01  6.93073E-03  1.02877E+00  3.75735E-02  2.35907E-01  8.63906E-03  1.63814E-01  6.14617E-03  3.26503E-01  1.17979E-02  2.08980E-01  7.85557E-03  1.95654E-01  7.27217E-03  2.26172E+00  8.34217E-02  6.91327E-02  2.47415E-03  6.90358E-02  2.52862E-03  1.06496E-01  3.76604E-03  1.03784E-01  3.67687E-03  7.81482E-02  2.76092E-03  5.67424E-02  2.02929E-03  9.81084E-02  3.45510E-03  1.16289E+00  4.13820E-02
   10.5000  2.14310E-01  2.15680E-01  9.53084E-03  4.31360E-01  1.90617E-02  1.39434E-01  6.13885E-03  1.85803E-01  8.10763E-03  1.90990E-01  8.33449E-03  1.03245E+00  4.51619E-02  2.36637E-01  1.03783E-02  1.62282E-01  7.33891E-03  3.28914E-01  1.42153E-02  2.06752E-01  9.37517E-03  1.94931E-01  8.70488E-03  2.25903E+00  1.00025E-01  6.99977E-02  2.98863E-03  6.90908E-02  3.03643E-03  1.08395E-01  4.56273E-03  1.05474E-01  4.45208E-03  7.96801E-02  3.34656E-03  5.75762E-02  2.45246E-03  1.00197E-01  4.19153E-03  1.18082E+00  5.00608E-02
   10.6000  2.50494E-01  2.15677E-01  1.11160E-02  4.31354E-01  2.22321E-02  1.40180E-01  7.16916E-03  1.86659E-01  9.47955E-03  1.91312E-01  9.74060E-03  1.03630E+00  5.27786E-02  2.37499E-01  1.21239E-02  1.60838E-01  8.52105E-03  3.31125E-01  1.66491E-02  2.04598E-01  1.08789E-02  1.94411E-01  1.01338E-02  2.25694E+00  1.16613E-01  7.08236E-02  3.50917E-03  6.91297E-02  3.54452E-03  1.10230E-01  5.37291E-03  1.07063E-01  5.23898E-03  8.12229E-02  3.94354E-03  5.84498E-02  2.88206E-03  1.02316E-01  4.94354E-03  1.19847E+00  5.88694E-02
   10.7000  2.86824E-01  2.15772E-01  1.27019E-02  4.31545E-01  2.54039E-02  1.41147E-01  8.20657E-03  1.87552E-01  1.08580E-02  1.91431E-01  1.11476E-02  1.04026E+00  6.04244E-02  2.38474E-01  1.38766E-02  1.59482E-01  9.69322E-03  3.33115E-01  1.90974E-02  2.02512E-01  1.23674E-02  1.94098E-01  1.15604E-02  2.25536E+00  1.33190E-01  7.15984E-02  4.03541E-03  6.91608E-02  4.05284E-03  1.11998E-01  6.19608E-03  1.08547E-01  6.03679E-03  8.27767E-02  4.55193E-03  5.93662E-02  3.31839E-03  1.04473E-01  5.71140E-03  1.21584E+00  6.78057E-02
   10.8000  3.23304E-01  2.15979E-01  1.42894E-02  4.31958E-01  2.85787E-02  1.42299E-01  9.25246E-03  1.88485E-01  1.22434E-02  1.91353E-01  1.25540E-02  1.04427E+00  6.80997E-02  2.39544E-01  1.56373E-02  1.58212E-01  1.08561E-02  3.34859E-01  2.15586E-02  2.00487E-01  1.38409E-02  1.93989E-01  1.29862E-02  2.25418E+00  1.49758E-01  7.23096E-02  4.56688E-03  6.91921E-02  4.56139E-03  1.13696E-01  7.03173E-03  1.09926E-01  6.84473E-03  8.43417E-02  5.17183E-03  6.03277E-02  3.76179E-03  1.06670E-01  6.49541E-03  1.23293E+00  7.68675E-02
   10.9000  3.59935E-01  2.16308E-01  1.58792E-02  4.32616E-01  3.17584E-02  1.43601E-01  1.03079E-02  1.89465E-01  1.36359E-02  1.91089E-01  1.39585E-02  1.04831E+00  7.58046E-02  2.40686E-01  1.74063E-02  1.57026E-01  1.20102E-02  3.36333E-01  2.40306E-02  1.98515E-01  1.53000E-02  1.94082E-01  1.44126E-02  2.25328E+00  1.66319E-01  7.29460E-02  5.10302E-03  6.92312E-02  5.07023E-03  1.15327E-01  7.87936E-03  1.11200E-01  7.66203E-03  8.59178E-02  5.80332E-03  6.13376E-02  4.21262E-03  1.08913E-01  7.29591E-03  1.24974E+00  8.60530E-02
   11.0000  3.96719E-01  2.16770E-01  1.74724E-02  4.33540E-01  3.49448E-02  1.45016E-01  1.13738E-02  1.90496E-01  1.50360E-02  1.90652E-01  1.53598E-02  1.05233E+00  8.35391E-02  2.41878E-01  1.91840E-02  1.55924E-01  1.31562E-02  3.37515E-01  2.65113E-02  1.96591E-01  1.67449E-02  1.94371E-01  1.58412E-02  2.25256E+00  1.82875E-01  7.34983E-02  5.64322E-03  6.92854E-02  5.57947E-03  1.16890E-01  8.73849E-03  1.12370E-01  8.48794E-03  8.75052E-02  6.44647E-03  6.23981E-02  4.67124E-03  1.11207E-01  8.11326E-03  1.26631E+00  9.53602E-02
   11.1000  4.33649E-01  2.17521E-01  1.90712E-02  4.35043E-01  3.81423E-02  1.46965E-01  1.24539E-02  1.91145E-01  1.64409E-02  1.88457E-01  1.67449E-02  1.05313E+00  9.12795E-02  2.43262E-01  2.09720E-02  1.54846E-01  1.42943E-02  3.38446E-01  2.89988E-02  1.94636E-01  1.81755E-02  1.95159E-01  1.72756E-02  2.25270E+00  1.99432E-01  7.49471E-02  6.19407E-03  6.93914E-02  6.08949E-03  1.17443E-01  9.60167E-03  1.11733E-01  9.30916E-03  8.98292E-02  7.10670E-03  6.37358E-02  5.13968E-03  1.14725E-01  8.95647E-03  1.28361E+00  1.04795E-01
   11.2000  4.70730E-01  2.18282E-01  2.06755E-02  4.36563E-01  4.13510E-02  1.48506E-01  1.35454E-02  1.92244E-01  1.78539E-02  1.87725E-01  1.81246E-02  1.05695E+00  9.90479E-02  2.44490E-01  2.27690E-02  1.53893E-01  1.54254E-02  3.38989E-01  3.14903E-02  1.92774E-01  1.95923E-02  1.95850E-01  1.87151E-02  2.25199E+00  2.15984E-01  7.52768E-02  6.74735E-03  6.94944E-02  6.60026E-03  1.18869E-01  1.04753E-02  1.12712E-01  1.01376E-02  9.15064E-02  7.77926E-03  6.49089E-02  5.61676E-03  1.17064E-01  9.81688E-03  1.29966E+00  1.14347E-01
   11.3000  5.07962E-01  2.19196E-01  2.22866E-02  4.38392E-01  4.45731E-02  1.50056E-01  1.46483E-02  1.93409E-01  1.92754E-02  1.86876E-01  1.94982E-02  1.06068E+00  1.06844E-01  2.45697E-01  2.45748E-02  1.53020E-01  1.65501E-02  3.39172E-01  3.39832E-02  1.90933E-01  2.09957E-02  1.96707E-01  2.01609E-02  2.25106E+00  2.32529E-01  7.55116E-02  7.30235E-03  6.96305E-02  7.11204E-03  1.20247E-01  1.13591E-02  1.13610E-01  1.09726E-02  9.31944E-02  8.46423E-03  6.61428E-02  6.10290E-03  1.19458E-01  1.06949E-02  1.31559E+00  1.24016E-01
