    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
    4.0000  4.93019E-02  2.27501E-01  1.67210E-03  4.55002E-01  3.34421E-03  1.62720E-01  1.19597E-03  1.28468E-01  9.44220E-04  1.62720E-01  1.19597E-03  9.07817E-01  6.67233E-03  5.19164E-01  3.81579E-03  5.46228E-01  4.01470E-03  4.16547E-01  3.06156E-03  5.46228E-01  4.01470E-03  5.19164E-01  3.81579E-03  5.09466E+00  3.74451E-02  1.47521E-02  1.08426E-04  2.10181E-02  1.54480E-04  2.12745E-02  1.56365E-04  1.39518E-02  1.02544E-04  2.12745E-02  1.56365E-04  2.10181E-02  1.54480E-04  1.19028E-02  8.74836E-05  2.50384E-01  1.84029E-03
    4.1000  9.71935E-02  2.24596E-01  3.32285E-03  4.49192E-01  6.64571E-03  1.62811E-01  2.39261E-03  1.31028E-01  1.90726E-03  1.62811E-01  2.39261E-03  9.13301E-01  1.33850E-02  4.90358E-01  7.41986E-03  5.22149E-01  7.85243E-03  4.22238E-01  6.16496E-03  5.22149E-01  7.85243E-03  4.90358E-01  7.41986E-03  4.89450E+00  7.34190E-02  1.47444E-02  2.16795E-04  2.15223E-02  3.12666E-04  2.22688E-02  3.20037E-04  1.46658E-02  2.10336E-04  2.22688E-02  3.20037E-04  2.15223E-02  3.12666E-04  1.25003E-02  1.79359E-04  2.58985E-01  3.74379E-03
    4.2000  1.43797E-01  2.21817E-01  4.95318E-03  4.43633E-01  9.90635E-03  1.62696E-01  3.58841E-03  1.33788E-01  2.89058E-03  1.62696E-01  3.58841E-03  9.18362E-01  2.01348E-02  4.63727E-01  1.08282E-02  5.00474E-01  1.15308E-02  4.27040E-01  9.30365E-03  5.00474E-01  1.15308E-02  4.63727E-01  1.08282E-02  4.71088E+00  1.08043E-01  1.47551E-02  3.25243E-04  2.20345E-02  4.74617E-04  2.32608E-02  4.91001E-04  1.54345E-02  3.23777E-04  2.32608E-02  4.91001E-04  2.20345E-02  4.74617E-04  1.31584E-02  2.76072E-04  2.67878E-01  5.71266E-03
    4.3000  1.89217E-01  2.19132E-01  6.56376E-03  4.38263E-01  1.31275E-02  1.62387E-01  4.78193E-03  1.36735E-01  3.89557E-03  1.62387E-01  4.78193E-03  9.23019E-01  2.69189E-02  4.39053E-01  1.40552E-02  4.80904E-01  1.50654E-02  4.30811E-01  1.24700E-02  4.80904E-01  1.50654E-02  4.39053E-01  1.40552E-02  4.54145E+00  1.41422E-01  1.47826E-02  4.33893E-04  2.25538E-02  6.40385E-04  2.42367E-02  6.69138E-04  1.62583E-02  4.43274E-04  2.42367E-02  6.69138E-04  2.25538E-02  6.40385E-04  1.38790E-02  3.78081E-04  2.77002E-01  7.74859E-03
    4.4000  2.33542E-01  2.16513E-01  8.15511E-03  4.33026E-01  1.63102E-02  1.61907E-01  5.97193E-03  1.39846E-01  4.92342E-03  1.61907E-01  5.97193E-03  9.27319E-01  3.37345E-02  4.16149E-01  1.71138E-02  4.63137E-01  1.84694E-02  4.33430E-01  1.56557E-02  4.63137E-01  1.84694E-02  4.16149E-01  1.71138E-02  4.38401E+00  1.73644E-01  1.48257E-02  5.42860E-04  2.30799E-02  8.10019E-04  2.51828E-02  8.54228E-04  1.71364E-02  5.69225E-04  2.51828E-02  8.54228E-04  2.30799E-02  8.10019E-04  1.46631E-02  4.85852E-04  2.86301E-01  9.85286E-03
    4.5000  2.76844E-01  2.13942E-01  9.72755E-03  4.27884E-01  1.94551E-02  1.61292E-01  7.15740E-03  1.43090E-01  5.97511E-03  1.61292E-01  7.15740E-03  9.31346E-01  4.05798E-02  3.94855E-01  2.00159E-02  4.46896E-01  2.17540E-02  4.34800E-01  1.88514E-02  4.46896E-01  2.17540E-02  3.94855E-01  2.00159E-02  4.23660E+00  2.04783E-01  1.48835E-02  6.52253E-04  2.36125E-02  9.83567E-04  2.60866E-02  1.04596E-03  1.80669E-02  7.02014E-04  2.60866E-02  1.04596E-03  2.36125E-02  9.83567E-04  1.55112E-02  5.99858E-04  2.95720E-01  1.20264E-02
    4.6000  3.19186E-01  2.11408E-01  1.12814E-02  4.22815E-01  2.25627E-02  1.60576E-01  8.33762E-03  1.46392E-01  7.05107E-03  1.60576E-01  8.33762E-03  9.35089E-01  4.74526E-02  3.75040E-01  2.27724E-02  4.31930E-01  2.49287E-02  4.34854E-01  2.20475E-02  4.31930E-01  2.49287E-02  3.75040E-01  2.27724E-02  4.09759E+00  2.34899E-01  1.49959E-02  7.62470E-04  2.41686E-02  1.16120E-03  2.69549E-02  1.24408E-03  1.90397E-02  8.41953E-04  2.69549E-02  1.24408E-03  2.41686E-02  1.16120E-03  1.64267E-02  7.20591E-04  3.05418E-01  1.42711E-02
    4.7000  3.60619E-01  2.08906E-01  1.28168E-02  4.17812E-01  2.56336E-02  1.59845E-01  9.51245E-03  1.49766E-01  8.15183E-03  1.59845E-01  9.51245E-03  9.38912E-01  5.43535E-02  3.56595E-01  2.53934E-02  4.18021E-01  2.80011E-02  4.33562E-01  2.52342E-02  4.18021E-01  2.80011E-02  3.56595E-01  2.53934E-02  3.96559E+00  2.64046E-01  1.50828E-02  8.73327E-04  2.47143E-02  1.34285E-03  2.77451E-02  1.44800E-03  2.00634E-02  9.89416E-04  2.77451E-02  1.44800E-03  2.47143E-02  1.34285E-03  1.74010E-02  8.48487E-04  3.14932E-01  1.65858E-02
    4.8000  4.01188E-01  2.06447E-01  1.43342E-02  4.12893E-01  2.86683E-02  1.59149E-01  1.06822E-02  1.53118E-01  9.27722E-03  1.59149E-01  1.06822E-02  9.42833E-01  6.12832E-02  3.39436E-01  2.78882E-02  4.04999E-01  3.09777E-02  4.30923E-01  2.84014E-02  4.04999E-01  3.09777E-02  3.39436E-01  2.78882E-02  3.83958E+00  2.92266E-01  1.51834E-02  9.84922E-04  2.52677E-02  1.52856E-03  2.84682E-02  1.65724E-03  2.11245E-02  1.14468E-03  2.84682E-02  1.65724E-03  2.52677E-02  1.52856E-03  1.84356E-02  9.83986E-04  3.24431E-01  1.89704E-02
    4.9000  4.40935E-01  2.04049E-01  1.58339E-02  4.08099E-01  3.16678E-02  1.58561E-01  1.18476E-02  1.56376E-01  1.04266E-02  1.58561E-01  1.18476E-02  9.46997E-01  6.82435E-02  3.23494E-01  3.02658E-02  3.92734E-01  3.38643E-02  4.26968E-01  3.15395E-02  3.92734E-01  3.38643E-02  3.23494E-01  3.02658E-02  3.71885E+00  3.19599E-01  1.52979E-02  1.09736E-03  2.58296E-02  1.71841E-03  2.91216E-02  1.87128E-03  2.22142E-02  1.30795E-03  2.91216E-02  1.87128E-03  2.58296E-02  1.71841E-03  1.95265E-02  1.12750E-03  3.33882E-01  2.14244E-02
