    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.91894E-14  4.42418E-14  1.62586E-15  8.84836E-14  3.25171E-15  7.36538E-15  2.70673E-16  6.30079E-14  2.31550E-15  7.36538E-15  2.70673E-16  1.55477E-13  5.71369E-15  1.82788E-14  6.71734E-16  7.22995E-15  2.65696E-16  3.77403E-14  1.38693E-15  7.22995E-15  2.65696E-16  1.82788E-14  6.71734E-16  1.77516E-13  6.52358E-15  7.79060E-15  2.86299E-16  5.12900E-15  1.88487E-16  7.64089E-15  2.80797E-16  9.22582E-15  3.39043E-16  7.64089E-15  2.80797E-16  5.12900E-15  1.88487E-16  7.79057E-15  2.86298E-16  1.00694E-13  3.70042E-15
  -49.5000  3.99351E-14  4.38500E-14  3.23732E-15  8.77001E-14  6.47463E-15  8.47651E-15  5.82179E-16  7.00788E-14  4.89085E-15  8.47651E-15  5.82179E-16  1.74064E-13  1.21104E-14  2.02274E-14  1.41508E-15  7.72522E-15  5.49592E-16  4.12294E-14  2.90208E-15  7.72522E-15  5.49592E-16  2.02274E-14  1.41508E-15  1.94269E-13  1.36628E-14  8.50437E-15  5.98829E-16  5.42836E-15  3.87976E-16  8.10387E-15  5.78609E-16  1.01700E-14  7.12785E-16  8.10387E-15  5.78609E-16  5.42836E-15  3.87976E-16  8.50433E-15  5.98827E-16  1.08486E-13  7.68722E-15
  -49.0000  6.27156E-14  4.45156E-14  4.87323E-15  8.90312E-14  9.74647E-15  9.89957E-15  9.45981E-16  7.89403E-14  7.79185E-15  9.89957E-15  9.45981E-16  1.97479E-13  1.93676E-14  2.26480E-14  2.24738E-15  8.33753E-15  8.55991E-16  4.56125E-14  4.57831E-15  8.33753E-15  8.55991E-16  2.26480E-14  2.24738E-15  2.15167E-13  2.15701E-14  9.38558E-15  9.43743E-16  5.80071E-15  6.01148E-16  8.69736E-15  8.98231E-16  1.13387E-14  1.12948E-15  8.69736E-15  8.98231E-16  5.80071E-15  6.01148E-16  9.38553E-15  9.43739E-16  1.18212E-13  1.20314E-14
  -48.5000  8.80864E-14  4.61945E-14  6.57085E-15  9.23889E-14  1.31417E-14  1.17210E-14  1.37672E-15  8.99897E-14  1.10989E-14  1.17210E-14  1.37672E-15  2.26864E-13  2.77047E-14  2.56340E-14  3.18941E-15  9.08290E-15  1.18978E-15  5.10467E-14  6.45424E-15  9.08290E-15  1.18978E-15  2.56340E-14  3.18941E-15  2.40961E-13  3.04252E-14  1.04625E-14  1.32823E-15  6.25421E-15  8.30986E-16  9.43693E-15  1.24503E-15  1.27729E-14  1.59887E-15  9.43693E-15  1.24503E-15  6.25421E-15  8.30986E-16  1.04624E-14  1.32823E-15  1.30160E-13  1.68147E-14
  -48.0000  1.16711E-13  4.89177E-14  8.36854E-15  9.78353E-14  1.67371E-14  1.40583E-14  1.89335E-15  1.03753E-13  1.49118E-14  1.40583E-14  1.89335E-15  2.63739E-13  3.73969E-14  2.93073E-14  4.26643E-15  9.98201E-15  1.55661E-15  5.77401E-14  8.57615E-15  9.98201E-15  1.55661E-15  2.93073E-14  4.26643E-15  2.72637E-13  4.04445E-14  1.17719E-14  1.76084E-15  6.79954E-15  1.08087E-15  1.03441E-14  1.62517E-15  1.45256E-14  2.13268E-15  1.03441E-14  1.62517E-15  6.79954E-15  1.08087E-15  1.17719E-14  1.76083E-15  1.44713E-13  2.21329E-14
  -47.5000  1.49401E-13  5.27832E-14  1.03083E-14  1.05566E-13  2.06166E-14  1.70700E-14  2.52066E-15  1.20921E-13  1.93555E-14  1.70700E-14  2.52066E-15  3.10122E-13  4.87937E-14  3.38252E-14  5.50948E-15  1.10610E-14  1.96310E-15  6.59623E-14  1.10002E-14  1.10610E-14  1.96310E-15  3.38252E-14  5.50948E-15  3.11469E-13  5.18908E-14  1.33608E-14  2.25184E-15  7.45023E-15  1.35466E-15  1.14471E-14  2.04584E-15  1.66649E-14  2.74510E-15  1.14471E-14  2.04584E-15  7.45023E-15  1.35466E-15  1.33607E-14  2.25183E-15  1.62362E-13  2.80995E-14
  -47.0000  1.87160E-13  5.79605E-14  1.24383E-14  1.15921E-13  2.48766E-14  2.09731E-14  3.29141E-15  1.42413E-13  2.45891E-14  2.09731E-14  3.29141E-15  3.68719E-13  6.23439E-14  3.93920E-14  6.95711E-15  1.23528E-14  2.41705E-15  7.60632E-14  1.37955E-14  1.23528E-14  2.41705E-15  3.93920E-14  6.95711E-15  3.59106E-13  6.50876E-14  1.52890E-14  2.81370E-15  8.22337E-15  1.65686E-15  1.27824E-14  2.51559E-15  1.92783E-14  3.45357E-15  1.27824E-14  2.51559E-15  8.22337E-15  1.65686E-15  1.52890E-14  2.81369E-15  1.83736E-13  3.48517E-14
  -46.5000  2.31253E-13  6.47012E-14  1.48160E-14  1.29402E-13  2.96321E-14  2.60632E-14  4.24922E-15  1.69445E-13  3.08161E-14  2.60632E-14  4.24922E-15  4.43143E-13  7.86291E-14  4.62704E-14  8.65752E-15  1.38995E-14  2.92785E-15  8.84929E-14  1.70475E-14  1.38995E-14  2.92785E-15  4.62704E-14  8.65752E-15  4.17666E-13  8.04366E-14  1.76330E-14  3.46171E-15  9.14058E-15  1.99277E-15  1.43971E-14  3.04467E-15  2.24770E-14  4.27958E-15  1.43971E-14  3.04467E-15  9.14058E-15  1.99277E-15  1.76329E-14  3.46169E-15  2.09637E-13  4.25557E-14
  -46.0000  2.83288E-13  7.33557E-14  1.75118E-14  1.46711E-13  3.50236E-14  3.27481E-14  5.45269E-15  2.03636E-13  3.82996E-14  3.27481E-14  5.45269E-15  5.38264E-13  9.84099E-14  5.48018E-14  1.06714E-14  1.57530E-14  3.50676E-15  1.03833E-13  2.08633E-14  1.57530E-14  3.50676E-15  5.48018E-14  1.06714E-14  4.89884E-13  9.84395E-14  2.04896E-14  4.21468E-15  1.02282E-14  2.36865E-15  1.63505E-14  3.64554E-15  2.64037E-14  5.24990E-15  1.63505E-14  3.64554E-15  1.02282E-14  2.36865E-15  2.04895E-14  4.21466E-15  2.41080E-13  5.14153E-14
  -45.5000  3.45326E-13  8.44016E-14  2.06135E-14  1.68803E-13  4.12270E-14  4.15946E-14  6.98126E-15  2.47155E-13  4.73824E-14  4.15946E-14  6.98126E-15  6.60689E-13  1.22690E-13  6.54300E-14  1.30760E-14  1.79771E-14  4.16741E-15  1.22833E-13  2.53774E-14  1.79771E-14  4.16741E-15  6.54300E-14  1.30760E-14  5.79295E-13  1.19728E-13  2.39824E-14  5.09602E-15  1.15183E-14  2.79194E-15  1.87174E-14  4.33339E-15  3.12410E-14  6.39799E-15  1.87174E-14  4.33339E-15  1.15183E-14  2.79194E-15  2.39823E-14  5.09600E-15  2.79354E-13  6.16813E-14
