    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.82352E-13  5.49141E-13  2.01805E-14  1.09828E-12  4.03611E-14  2.26691E-13  8.33075E-15  3.74538E-13  1.37640E-14  2.22985E-13  8.19455E-15  1.64843E-12  6.05787E-14  8.61031E-14  3.16423E-15  2.82780E-13  1.03920E-14  2.29947E-13  8.45038E-15  1.01978E-15  3.74764E-17  7.84828E-14  2.88419E-15  1.35666E-12  4.98565E-14  1.46715E-14  5.39166E-16  5.11187E-17  1.87858E-18  1.66592E-13  6.12215E-15  7.95654E-14  2.92397E-15  1.99093E-14  7.31653E-16  8.51202E-14  3.12811E-15  6.34234E-14  2.33077E-15  8.58666E-13  3.15554E-14
  -49.5000  3.74673E-13  5.28559E-13  3.96047E-14  1.05712E-12  7.92094E-14  2.47069E-13  1.74104E-14  4.08847E-13  2.87889E-14  2.48164E-13  1.73144E-14  1.80816E-12  1.27027E-13  9.39962E-14  6.61853E-15  2.97819E-13  2.13366E-14  2.50574E-13  1.76588E-14  1.26138E-15  8.38314E-17  8.43520E-14  5.98407E-15  1.45601E-12  1.03364E-13  1.52133E-14  1.09824E-15  5.50613E-17  3.90204E-18  1.75579E-13  1.25746E-14  8.58666E-14  6.07951E-15  2.16645E-14  1.52781E-15  8.86781E-14  6.38697E-15  6.89627E-14  4.86510E-15  9.12038E-13  6.50722E-14
  -49.0000  5.80753E-13  5.20688E-13  5.87397E-14  1.04138E-12  1.17479E-13  2.72570E-13  2.74271E-14  4.51601E-13  4.53849E-14  2.79839E-13  2.75983E-14  2.00802E-12  2.00821E-13  1.03803E-13  1.04332E-14  3.16509E-13  3.29681E-14  2.76127E-13  2.78063E-14  1.56212E-15  1.41238E-16  9.17314E-14  9.35513E-15  1.57946E-12  1.61408E-13  1.59293E-14  1.68363E-15  6.04306E-17  6.12283E-18  1.86855E-13  1.94413E-14  9.36906E-14  9.52258E-15  2.38454E-14  2.40411E-15  9.32107E-14  9.81240E-15  7.58399E-14  7.65217E-15  9.78862E-13  1.01045E-13
  -48.5000  8.04742E-13  5.23877E-13  7.79918E-14  1.04775E-12  1.55984E-13  3.04208E-13  3.86066E-14  5.04420E-13  6.39220E-14  3.19415E-13  3.93366E-14  2.25609E-12  2.83730E-13  1.15844E-13  1.46904E-14  3.39188E-13  4.54330E-14  3.07424E-13  3.91039E-14  1.93749E-15  2.12440E-16  1.00849E-13  1.30613E-14  1.73048E-12  2.25002E-13  1.68289E-14  2.30208E-15  6.75537E-17  8.60538E-18  2.00645E-13  2.68149E-14  1.03260E-13  1.33173E-14  2.65194E-14  3.37868E-15  9.87786E-14  1.34425E-14  8.42655E-14  1.07489E-14  1.06073E-12  1.40026E-13
  -48.0000  1.05137E-12  5.37379E-13  9.77401E-14  1.07476E-12  1.95480E-13  3.43324E-13  5.12235E-14  5.69445E-13  8.48487E-14  3.68761E-13  5.28883E-14  2.56306E-12  3.77921E-13  1.30539E-13  1.94876E-14  3.66312E-13  5.88947E-14  3.45538E-13  5.18022E-14  2.40726E-15  3.00905E-16  1.12011E-13  1.71776E-14  1.91361E-12  2.95326E-13  1.79272E-14  2.96090E-15  7.68810E-17  1.14307E-17  2.17255E-13  3.47989E-14  1.14869E-13  1.75387E-14  2.97748E-14  4.47288E-15  1.05471E-13  1.73184E-14  9.45165E-14  1.42223E-14  1.15978E-12  1.82647E-13
  -47.5000  1.32621E-12  5.61140E-13  1.18362E-13  1.12228E-12  2.36723E-13  3.91679E-13  6.56174E-14  6.49469E-13  1.08716E-13  4.30338E-13  6.87029E-14  2.94297E-12  4.86073E-13  1.48427E-13  2.49422E-14  3.98462E-13  7.35379E-14  3.91844E-13  6.62022E-14  2.99669E-15  4.11031E-16  1.25610E-13  2.17937E-14  2.13468E-12  3.73774E-13  1.92451E-14  3.66814E-15  8.90204E-17  1.47021E-17  2.37082E-13  4.35115E-14  1.28894E-13  2.22754E-14  3.37248E-14  5.71225E-15  1.13407E-13  2.14861E-14  1.06948E-13  1.81525E-14  1.27878E-12  2.29641E-13
  -47.0000  1.63594E-12  5.95726E-13  1.40254E-13  1.19145E-12  2.80508E-13  4.51600E-13  8.22134E-14  7.48164E-13  1.36211E-13  5.07416E-13  8.73502E-14  3.41436E-12  6.11549E-13  1.70202E-13  3.11970E-14  4.36374E-13  8.95744E-14  4.48104E-13  8.26697E-14  3.73831E-15  5.48412E-16  1.42157E-13  2.70179E-14  2.40115E-12  4.62015E-13  2.08102E-14  4.43290E-15  1.04788E-16  1.85530E-17  2.60632E-13  5.30895E-14  1.45816E-13  2.76341E-14  3.85143E-14  7.12762E-15  1.22739E-13  2.59967E-14  1.22014E-13  2.26365E-14  1.42126E-12  2.81872E-13
  -46.5000  1.98875E-12  6.42321E-13  1.63859E-13  1.28464E-12  3.27718E-13  5.26144E-13  1.01549E-13  8.70336E-13  1.68195E-13  6.04301E-13  1.09558E-13  4.00156E-12  7.58603E-13  1.96744E-13  3.84272E-14  4.80962E-13  1.07249E-13  5.16561E-13  1.01653E-13  4.67428E-15  7.20188E-16  1.62302E-13  3.29824E-14  2.72249E-12  5.62064E-13  2.26575E-14  5.26555E-15  1.25284E-16  2.31571E-17  2.88546E-13  6.36934E-14  1.66242E-13  3.37433E-14  4.43268E-14  8.75660E-15  1.33660E-13  3.09086E-14  1.40290E-13  2.77921E-14  1.59169E-12  3.40365E-13
  -46.0000  2.39478E-12  7.02748E-13  1.89685E-13  1.40550E-12  3.79369E-13  6.19360E-13  1.24310E-13  1.02230E-12  2.05764E-13  7.26729E-13  1.36265E-13  4.73678E-12  9.32677E-13  2.29181E-13  4.68495E-14  5.33337E-13  1.26849E-13  6.00078E-13  1.23705E-13  5.85907E-15  9.35505E-16  1.86880E-13  3.98501E-14  3.11067E-12  6.76380E-13  2.48305E-14  6.17805E-15  1.51985E-16  2.87425E-17  3.21612E-13  7.55124E-14  1.90940E-13  4.07603E-14  5.13953E-14  1.06453E-14  1.46400E-13  3.62887E-14  1.62508E-13  3.37641E-14  1.79568E-12  4.06355E-13
  -45.5000  2.86675E-12  7.79589E-13  2.18334E-13  1.55918E-12  4.36668E-13  7.36641E-13  1.51381E-13  1.21239E-12  2.50318E-13  8.82379E-13  1.68691E-13  5.66282E-12  1.14078E-12  2.68954E-13  5.67334E-14  5.94841E-13  1.48709E-13  7.02308E-13  1.49515E-13  7.36292E-15  1.20609E-15  2.16960E-13  4.78232E-14  3.58085E-12  8.07973E-13  2.73819E-14  7.18432E-15  1.86857E-16  3.56094E-17  3.60801E-13  8.87716E-14  2.20883E-13  4.88776E-14  6.00152E-14  1.28509E-14  1.61239E-13  4.22141E-14  1.89595E-13  4.07316E-14  2.04020E-12  4.81331E-13
