    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  3.21940E-14  9.33685E-14  3.43123E-15  1.86737E-13  6.86246E-15  8.77573E-14  3.22502E-15  5.25399E-14  1.93081E-15  8.86371E-14  3.25735E-15  4.57869E-13  1.68264E-14  2.34962E-14  8.63470E-16  3.16686E-14  1.16380E-15  9.34042E-15  3.43254E-16  2.93059E-14  1.07697E-15  2.19083E-14  8.05116E-16  2.31439E-13  8.50522E-15
  -49.5000  6.60796E-14  1.00016E-13  7.10674E-15  2.00032E-13  1.42135E-14  9.01284E-14  6.53718E-15  5.50520E-14  3.95393E-15  9.10884E-14  6.60479E-15  4.72537E-13  3.41918E-14  2.48335E-14  1.77609E-15  3.46816E-14  2.43833E-15  9.86955E-15  7.05953E-16  3.21791E-14  2.25953E-15  2.31885E-14  1.65728E-15  2.49505E-13  1.76743E-14
  -49.0000  1.02423E-13  1.09034E-13  1.11137E-14  2.18068E-13  2.22273E-14  9.44759E-14  1.00091E-14  5.88070E-14  6.11505E-15  9.55141E-14  1.01149E-14  4.97594E-13  5.24780E-14  2.66943E-14  2.75708E-15  3.85429E-14  3.85475E-15  1.05929E-14  1.09523E-15  3.58459E-14  3.57684E-15  2.49724E-14  2.57499E-15  2.73297E-13  2.77178E-14
  -48.5000  1.42054E-13  1.20715E-13  1.55499E-14  2.41430E-13  3.10997E-14  1.00839E-13  1.37149E-14  6.38952E-14  8.46315E-15  1.01957E-13  1.38617E-14  5.33384E-13  7.20795E-14  2.91261E-14  3.82745E-15  4.33947E-14  5.44948E-15  1.15278E-14  1.51887E-15  4.04434E-14  5.06311E-15  2.73070E-14  3.57851E-15  3.03598E-13  3.88748E-14
  -48.0000  1.85913E-13  1.35505E-13  2.05296E-14  2.71009E-13  4.10591E-14  1.09384E-13  1.77347E-14  7.04853E-14  1.10534E-14  1.10586E-13  1.79257E-14  5.80910E-13  9.34276E-14  3.22076E-14  5.01106E-15  4.94327E-14  7.26610E-15  1.27027E-14  1.98569E-15  4.61588E-14  6.75942E-15  3.02701E-14  4.69092E-15  3.41544E-13  5.14264E-14
  -47.5000  2.35105E-13  1.54023E-13  2.61898E-14  3.08045E-13  5.23796E-14  1.20404E-13  2.21594E-14  7.88304E-14  1.39504E-14  1.21696E-13  2.23980E-14  6.41861E-13  1.17016E-13  3.60528E-14  6.33597E-15  5.69156E-14  9.35771E-15  1.41581E-14  2.50599E-15  5.32387E-14  8.71591E-15  3.39742E-14  5.93944E-15  3.88679E-13  6.57100E-14
  -47.0000  2.90959E-13  1.77095E-13  3.26979E-14  3.54191E-13  6.53958E-14  1.34325E-13  2.70958E-14  8.92770E-14  1.72313E-14  1.35714E-13  2.73853E-14  7.18631E-13  1.43425E-13  4.08144E-14  7.83587E-15  6.61813E-14  1.17898E-14  1.59479E-14  3.09207E-15  6.20047E-14  1.09945E-14  3.85696E-14  7.35685E-15  4.47036E-13  8.21383E-14
  -46.5000  3.55097E-13  2.05802E-13  4.02610E-14  4.11605E-13  8.05220E-14  1.51721E-13  3.26714E-14  1.02285E-13  2.09902E-14  1.53214E-13  3.30159E-14  8.14440E-13  1.73355E-13  4.66911E-14  9.55174E-15  7.76662E-14  1.46440E-14  1.81417E-14  3.75876E-15  7.28721E-14  1.36725E-14  4.42529E-14  8.98311E-15  5.19248E-13  1.01220E-13
  -46.0000  4.29531E-13  2.41562E-13  4.91383E-14  4.83124E-13  9.82765E-14  1.73362E-13  3.90424E-14  1.18460E-13  2.53435E-14  1.74965E-13  3.94457E-14  9.33575E-13  2.07663E-13  5.39437E-14  1.15341E-14  9.19390E-14  1.80227E-14  2.08299E-14  4.52425E-15  8.63815E-14  1.68470E-14  5.12814E-14  1.08677E-14  6.08751E-13  1.23592E-13
  -45.5000  5.16778E-13  2.86228E-13  5.96569E-14  5.72455E-13  1.19314E-13  2.00255E-13  4.64016E-14  1.38590E-13  3.04366E-14  2.01973E-13  4.68681E-14  1.08164E-12  2.47412E-13  6.29107E-14  1.38461E-14  1.09737E-13  2.20555E-14  2.41297E-14  5.41100E-15  1.03235E-13  2.06408E-14  5.99904E-14  1.30723E-14  7.20005E-13  1.50051E-13
  -45.0000  6.20014E-13  3.42228E-13  7.22336E-14  6.84455E-13  1.44467E-13  2.33716E-13  5.49905E-14  1.63705E-13  3.64526E-14  2.35550E-13  5.55244E-14  1.26594E-12  2.93935E-13  7.40321E-14  1.65667E-14  1.32023E-13  2.69072E-14  2.81917E-14  6.44702E-15  1.24347E-13  2.52105E-14  7.08157E-14  1.56747E-14  8.58821E-13  1.81612E-13
  -44.5000  7.43284E-13  4.12749E-13  8.74018E-14  8.25498E-13  1.74804E-13  2.75461E-13  6.51135E-14  1.95152E-13  4.36243E-14  2.77406E-13  6.57189E-14  1.49604E-12  3.48913E-13  8.78781E-14  1.97962E-14  1.60061E-13  3.27894E-14  3.32092E-14  7.66743E-15  1.50921E-13  3.07567E-14  8.43239E-14  1.87736E-14  1.03279E-12  2.19566E-13
  -44.0000  8.91768E-13  5.02024E-13  1.05851E-13  1.00405E-12  2.11702E-13  3.27756E-13  7.71583E-14  2.34703E-13  5.22495E-14  3.29801E-13  7.78388E-14  1.78452E-12  4.14493E-13  1.05202E-13  2.36623E-14  1.95511E-13  3.99742E-14  3.94369E-14  9.11671E-15  1.84539E-13  3.75384E-14  1.01264E-13  2.24949E-14  1.25191E-12  2.65573E-13
  -43.5000  1.07216E-12  6.15683E-13  1.28477E-13  1.23137E-12  2.56954E-13  3.93590E-13  9.16225E-14  2.84703E-13  6.27122E-14  3.95710E-13  9.23809E-14  2.14801E-12  4.93431E-13  1.26997E-13  2.83293E-14  2.40583E-13  4.88155E-14  4.72065E-14  1.08515E-14  2.27305E-13  4.58917E-14  1.22623E-13  2.70012E-14  1.52943E-12  3.21779E-13
  -43.0000  1.29317E-12  7.61238E-13  1.56452E-13  1.52248E-12  3.12904E-13  4.76908E-13  1.09149E-13  3.48259E-13  7.55104E-14  4.79056E-13  1.09986E-13  2.60844E-12  5.89290E-13  1.54568E-13  3.40096E-14  2.98215E-13  5.97747E-14  5.69507E-14  1.29444E-14  2.82016E-13  5.62556E-14  1.49705E-13  3.25028E-14  1.88291E-12  3.90974E-13
  -42.5000  1.56617E-12  9.48837E-13  1.91321E-13  1.89767E-12  3.82642E-13  5.82991E-13  1.30573E-13  4.29522E-13  9.12951E-14  5.85094E-13  1.31488E-13  3.19522E-12  7.06712E-13  1.89669E-13  4.09798E-14  3.72351E-13  7.34584E-14  6.92473E-14  1.54892E-14  3.52432E-13  6.92073E-14  1.84261E-13  3.92743E-14  2.33592E-12  4.76818E-13
  -42.0000  1.90620E-12  1.19227E-12  2.35136E-13  2.38453E-12  4.70272E-13  7.18948E-13  1.56994E-13  5.34094E-13  1.10923E-13  7.20887E-13  1.57980E-13  3.94786E-12  8.51793E-13  2.34659E-13  4.96033E-14  4.68329E-13  9.06691E-14  8.48653E-14  1.86080E-14  4.43641E-13  8.55108E-14  2.28648E-13  4.76769E-14  2.92028E-12  5.84136E-13
