    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.31912E-04  1.01728E-03  3.73845E-05  2.03457E-03  7.47690E-05  1.19248E-04  4.38230E-06  1.19306E-04  4.38441E-06  1.19242E-04  4.38208E-06  7.15594E-04  2.62976E-05  2.35543E-05  8.65606E-07  2.35966E-05  8.67160E-07  2.35409E-05  8.65113E-07  2.35913E-05  8.66965E-07  2.35559E-05  8.65664E-07  2.35678E-04  8.66102E-06  4.31161E-05  1.58449E-06  4.31281E-05  1.58493E-06  4.31204E-05  1.58464E-06  4.31150E-05  1.58445E-06  4.31189E-05  1.58459E-06  4.31300E-05  1.58500E-06  4.31091E-05  1.58423E-06  6.03675E-04  2.21847E-05
  -49.5000  2.55942E-04  8.83674E-04  6.98589E-05  1.76735E-03  1.39718E-04  1.25028E-04  8.97701E-06  1.25091E-04  8.98143E-06  1.25023E-04  8.97658E-06  7.50285E-04  5.38700E-05  2.38840E-05  1.74333E-06  2.39276E-05  1.74648E-06  2.38700E-05  1.74232E-06  2.39228E-05  1.74611E-06  2.38855E-05  1.74344E-06  2.38980E-04  1.74434E-05  4.41686E-05  3.20766E-06  4.41811E-05  3.20855E-06  4.41729E-05  3.20797E-06  4.41674E-05  3.20757E-06  4.41716E-05  3.20787E-06  4.41828E-05  3.20869E-06  4.41614E-05  3.20713E-06  6.18412E-04  4.49109E-05
  -49.0000  3.74058E-04  7.75112E-04  9.83438E-05  1.55022E-03  1.96688E-04  1.31266E-04  1.38010E-05  1.31335E-04  1.38079E-05  1.31261E-04  1.38003E-05  7.87724E-04  8.28184E-05  2.42245E-05  2.63356E-06  2.42695E-05  2.63837E-06  2.42098E-05  2.63201E-06  2.42651E-05  2.63784E-06  2.42258E-05  2.63372E-06  2.42389E-04  2.63510E-05  4.52644E-05  4.87109E-06  4.52774E-05  4.87247E-06  4.52688E-05  4.87157E-06  4.52632E-05  4.87096E-06  4.52676E-05  4.87142E-06  4.52790E-05  4.87266E-06  4.52569E-05  4.87029E-06  6.33754E-04  6.82009E-05
  -48.5000  4.87808E-04  6.85758E-04  1.23545E-04  1.37152E-03  2.47090E-04  1.38005E-04  1.88725E-05  1.38080E-04  1.88823E-05  1.38000E-04  1.88718E-05  8.28172E-04  1.13253E-04  2.45752E-05  3.53668E-06  2.46218E-05  3.54321E-06  2.45597E-05  3.53456E-06  2.46178E-05  3.54253E-06  2.45763E-05  3.53688E-06  2.45902E-04  3.53877E-05  4.64041E-05  6.57641E-06  4.64177E-05  6.57829E-06  4.64086E-05  6.57705E-06  4.64028E-05  6.57623E-06  4.64075E-05  6.57687E-06  4.64191E-05  6.57853E-06  4.63964E-05  6.57533E-06  6.49712E-04  9.20774E-05
  -48.0000  5.98444E-04  6.11354E-04  1.46012E-04  1.22271E-03  2.92024E-04  1.45303E-04  2.42123E-05  1.45385E-04  2.42251E-05  1.45298E-04  2.42114E-05  8.71972E-04  1.45297E-04  2.49372E-05  4.45311E-06  2.49857E-05  4.46142E-06  2.49210E-05  4.45039E-06  2.49820E-05  4.46060E-06  2.49382E-05  4.45334E-06  2.49528E-04  4.45577E-05  4.75916E-05  8.32537E-06  4.76059E-05  8.32777E-06  4.75963E-05  8.32618E-06  4.75904E-05  8.32515E-06  4.75953E-05  8.32596E-06  4.76072E-05  8.32806E-06  4.75837E-05  8.32400E-06  6.66341E-04  1.16565E-04
  -47.5000  7.06999E-04  5.48748E-04  1.66178E-04  1.09750E-03  3.32356E-04  1.53223E-04  2.98431E-05  1.53313E-04  2.98592E-05  1.53218E-04  2.98420E-05  9.19508E-04  1.79089E-04  2.53108E-05  5.38326E-06  2.53613E-05  5.39343E-06  2.52938E-05  5.37992E-06  2.53579E-05  5.39248E-06  2.53117E-05  5.38353E-06  2.53271E-04  5.38653E-05  4.88296E-05  1.01198E-05  4.88445E-05  1.01228E-05  4.88344E-05  1.01208E-05  4.88283E-05  1.01196E-05  4.88334E-05  1.01206E-05  4.88456E-05  1.01231E-05  4.88214E-05  1.01181E-05  6.83674E-04  1.41690E-04
  -47.0000  8.14354E-04  4.95556E-04  1.84389E-04  9.91113E-04  3.68779E-04  1.61844E-04  3.57908E-05  1.61944E-04  3.58106E-05  1.61840E-04  3.57895E-05  9.71258E-04  2.14782E-04  2.56971E-05  6.32761E-06  2.57498E-05  6.33971E-06  2.56793E-05  6.32362E-06  2.57466E-05  6.33865E-06  2.56980E-05  6.32792E-06  2.57142E-04  6.33150E-05  5.01216E-05  1.19618E-05  5.01372E-05  1.19653E-05  5.01266E-05  1.19629E-05  5.01203E-05  1.19614E-05  5.01257E-05  1.19626E-05  5.01382E-05  1.19656E-05  5.01131E-05  1.19598E-05  7.01765E-04  1.67479E-04
  -46.5000  9.21276E-04  4.50004E-04  2.00927E-04  9.00009E-04  4.01853E-04  1.71248E-04  4.20841E-05  1.71359E-04  4.21079E-05  1.71244E-04  4.20827E-05  1.02770E-03  2.52549E-04  2.60954E-05  7.28660E-06  2.61504E-05  7.30072E-06  2.60766E-05  7.28192E-06  2.61474E-05  7.29955E-06  2.60962E-05  7.28693E-06  2.61132E-04  7.29115E-05  5.14691E-05  1.38532E-05  5.14854E-05  1.38573E-05  5.14743E-05  1.38546E-05  5.14677E-05  1.38528E-05  5.14734E-05  1.38543E-05  5.14863E-05  1.38577E-05  5.14602E-05  1.38509E-05  7.20633E-04  1.93962E-04
  -46.0000  1.02845E-03  4.10707E-04  2.16020E-04  8.21415E-04  4.32040E-04  1.81534E-04  4.87553E-05  1.81657E-04  4.87837E-05  1.81531E-04  4.87538E-05  1.08944E-03  2.92586E-04  2.65073E-05  8.26073E-06  2.65648E-05  8.27696E-06  2.64876E-05  8.25532E-06  2.65621E-05  8.27569E-06  2.65080E-05  8.26108E-06  2.65259E-04  8.26596E-05  5.28774E-05  1.57964E-05  5.28944E-05  1.58012E-05  5.28828E-05  1.57980E-05  5.28760E-05  1.57960E-05  5.28819E-05  1.57976E-05  5.28953E-05  1.58016E-05  5.28682E-05  1.57938E-05  7.40352E-04  2.21169E-04
  -45.5000  1.13653E-03  3.76587E-04  2.29859E-04  7.53173E-04  4.59718E-04  1.92814E-04  5.58411E-05  1.92951E-04  5.58745E-05  1.92810E-04  5.58394E-05  1.15715E-03  3.35110E-04  2.69330E-05  9.25050E-06  2.69933E-05  9.26894E-06  2.69123E-05  9.24433E-06  2.69908E-05  9.26759E-06  2.69337E-05  9.25088E-06  2.69526E-04  9.25645E-05  5.43495E-05  1.77937E-05  5.43673E-05  1.77991E-05  5.43551E-05  1.77955E-05  5.43481E-05  1.77933E-05  5.43543E-05  1.77951E-05  5.43681E-05  1.77996E-05  5.43400E-05  1.77907E-05  7.60965E-04  2.49134E-04
