    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  2.64079E-14  7.19344E-14  2.64354E-15  1.43869E-13  5.28708E-15  2.68283E-14  9.85924E-16  6.96671E-14  2.56022E-15  2.29232E-14  8.42411E-16  2.38837E-13  8.77711E-15  1.29185E-14  4.74744E-16  3.15657E-14  1.16002E-15  4.02049E-14  1.47750E-15  6.79882E-15  2.49852E-16  1.19468E-14  4.39038E-16  2.06869E-13  7.60231E-15  2.93358E-15  1.07807E-16  1.63896E-15  6.02306E-17  1.94435E-14  7.14535E-16  1.21891E-14  4.47941E-16  6.95152E-15  2.55464E-16  9.48110E-15  3.48424E-16  1.18726E-14  4.36310E-16  1.29021E-13  4.74142E-15
  -49.5000  5.47483E-14  7.07251E-14  5.24264E-15  1.41450E-13  1.04853E-14  2.98967E-14  2.08461E-15  7.71098E-14  5.39395E-15  2.60182E-14  1.79856E-15  2.66050E-13  1.85542E-14  1.43005E-14  1.00028E-15  3.35946E-14  2.39460E-15  4.41675E-14  3.10063E-15  7.26405E-15  5.16801E-16  1.30884E-14  9.20026E-16  2.24830E-13  1.58647E-14  3.11978E-15  2.22457E-16  1.73653E-15  1.24047E-16  2.07095E-14  1.47560E-15  1.33563E-14  9.38776E-16  7.45739E-15  5.29518E-16  9.98509E-15  7.15369E-16  1.30607E-14  9.16282E-16  1.38851E-13  9.84409E-15
  -49.0000  8.56462E-14  7.12054E-14  7.85939E-15  1.42411E-13  1.57188E-14  3.37508E-14  3.32493E-15  8.64007E-14  8.56912E-15  2.99449E-14  2.89902E-15  3.00193E-13  2.95861E-14  1.60184E-14  1.58894E-15  3.60909E-14  3.72092E-15  4.90989E-14  4.90498E-15  7.83685E-15  8.04800E-16  1.45087E-14  1.45321E-15  2.47108E-13  2.49457E-14  3.34890E-15  3.45526E-16  1.85659E-15  1.92275E-16  2.22859E-14  2.29459E-15  1.48010E-14  1.48270E-15  8.09429E-15  8.26977E-16  1.06135E-14  1.10541E-15  1.45319E-14  1.45032E-15  1.51064E-13  1.53956E-14
  -48.5000  1.19815E-13  7.32528E-14  1.05514E-14  1.46506E-13  2.11028E-14  3.85746E-14  4.74252E-15  9.79367E-14  1.21682E-14  3.49094E-14  4.18191E-15  3.42841E-13  4.21853E-14  1.81367E-14  2.25546E-15  3.91105E-14  5.15820E-15  5.51761E-14  6.93267E-15  8.53200E-15  1.11835E-15  1.62595E-14  2.05074E-15  2.74430E-13  3.50308E-14  3.62595E-15  4.78777E-16  2.00167E-15  2.65835E-16  2.42111E-14  3.18433E-15  1.65716E-14  2.09170E-15  8.88073E-15  1.15334E-15  1.13778E-14  1.52354E-15  1.63369E-14  2.05069E-15  1.66011E-13  2.14964E-14
  -48.0000  1.58098E-13  7.68639E-14  1.33761E-14  1.53728E-13  2.67522E-14  4.46131E-14  6.38202E-15  1.12242E-13  1.62930E-14  4.11888E-14  5.69557E-15  3.96087E-13  5.67412E-14  2.07399E-14  3.01763E-15  4.27259E-14  6.72835E-15  6.26308E-14  9.23431E-15  9.36855E-15  1.46263E-15  1.84081E-14  2.72722E-15  3.07747E-13  4.63403E-14  3.95742E-15  6.24210E-16  2.17504E-15  3.45767E-16  2.65359E-14  4.15950E-15  1.87308E-14  2.78004E-15  9.84146E-15  1.51501E-15  1.22936E-14  1.97532E-15  1.85415E-14  2.73208E-15  1.84151E-13  2.82638E-14
  -47.5000  2.01510E-13  8.21356E-14  1.63945E-14  1.64271E-13  3.27890E-14  5.21915E-14  8.30002E-15  1.30002E-13  2.10705E-14  4.91524E-14  7.50189E-15  4.62693E-13  7.37449E-14  2.39364E-14  3.89728E-15  4.70287E-14  8.45662E-15  7.17615E-14  1.18715E-14  1.03706E-14  1.84374E-15  2.10418E-14  3.50049E-15  3.48278E-13  5.91393E-14  4.35157E-15  7.84127E-16  2.38084E-15  4.33261E-16  2.93255E-14  5.23719E-15  2.13591E-14  3.56498E-15  1.10085E-14  1.91956E-15  1.33806E-14  2.46705E-15  2.12303E-14  3.51227E-15  2.06073E-13  3.58369E-14
  -47.0000  2.51305E-13  8.92652E-14  1.96749E-14  1.78530E-13  3.93499E-14  6.17450E-14  1.05691E-14  1.52128E-13  2.66611E-14  5.92976E-14  9.68104E-15  5.46342E-13  9.38226E-14  2.78668E-14  4.92137E-15  5.21335E-14  1.03725E-14  8.29534E-14  1.49200E-14  1.15684E-14  2.26888E-15  2.42731E-14  4.39252E-15  3.97590E-13  7.37504E-14  4.81873E-15  9.61212E-16  2.62423E-15  5.29699E-16  3.26631E-14  6.43754E-15  2.45595E-14  4.46752E-15  1.24231E-14  2.37610E-15  1.46640E-14  3.00594E-15  2.45115E-14  4.41306E-15  2.32528E-13  4.43821E-14
  -46.5000  3.09046E-13  9.85606E-14  2.32970E-14  1.97121E-13  4.65940E-14  7.38546E-14  1.32832E-14  1.79819E-13  3.32694E-14  7.22910E-14  1.23377E-14  6.51929E-13  1.17781E-13  3.27113E-14  6.12349E-15  5.81839E-14  1.25107E-14  9.67012E-14  1.84737E-14  1.30009E-14  2.74665E-15  2.82470E-14  5.43057E-15  4.57689E-13  9.05702E-14  5.37182E-15  1.15862E-15  2.91175E-15  6.36704E-16  3.66538E-14  7.78454E-15  2.84629E-14  5.51351E-15  1.41379E-14  2.89566E-15  1.61749E-14  3.60036E-15  2.85231E-14  5.46126E-15  2.64472E-13  5.41013E-14
  -46.0000  3.76708E-13  1.10457E-13  2.73562E-14  2.20914E-13  5.47124E-14  8.93039E-14  1.65651E-14  2.14667E-13  4.11582E-14  8.90365E-14  1.56097E-14  7.86015E-13  1.46666E-13  3.87026E-14  7.54578E-15  6.53553E-14  1.49125E-14  1.13642E-13  2.26499E-14  1.47160E-14  3.28745E-15  3.31506E-14  6.64884E-15  5.31132E-13  1.10089E-13  6.02669E-15  1.38010E-15  3.25133E-15  7.56188E-16  4.14288E-14  9.30702E-15  3.32365E-14  6.73493E-15  1.62197E-14  3.49172E-15  1.79516E-14  4.26006E-15  3.34415E-14  6.69021E-15  3.03112E-13  6.52405E-14
  -45.5000  4.56811E-13  1.25549E-13  3.19700E-14  2.51097E-13  6.39400E-14  1.09158E-13  2.05765E-14  2.58797E-13  5.06688E-14  1.10768E-13  1.96804E-14  9.57445E-13  1.81852E-13  4.61425E-14  9.24148E-15  7.38622E-14  1.76269E-14  1.34596E-13  2.75962E-14  1.67727E-14  3.90384E-15  3.92265E-14  8.09038E-15  6.21200E-13  1.32918E-13  6.80271E-15  1.63010E-15  3.65256E-15  8.90417E-16  4.71509E-14  1.10398E-14  3.90940E-14  8.17161E-15  1.87532E-14  4.18089E-15  2.00398E-14  4.99651E-15  3.94928E-14  8.14155E-15  3.49972E-13  7.81017E-14
  -45.0000  5.52605E-13  1.44630E-13  3.72851E-14  2.89261E-13  7.45702E-14  1.34875E-13  2.55331E-14  3.15088E-13  6.22481E-14  1.39181E-13  2.47952E-14  1.17829E-12  2.25153E-13  5.54228E-14  1.12782E-14  8.39741E-14  2.07129E-14  1.60632E-13  3.34994E-14  1.92477E-14  4.61118E-15  4.67907E-14  9.80991E-15  7.32135E-13  1.59823E-13  7.72426E-15  1.91396E-15  4.12769E-15  1.04211E-15  5.40283E-14  1.30253E-14  4.63102E-14  9.87348E-15  2.18474E-14  4.98377E-15  2.24970E-14  5.82326E-15  4.69682E-14  9.86760E-15  4.07006E-13  9.30589E-14
