    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.31521E-04  1.01095E-03  3.71518E-05  2.02190E-03  7.43036E-05  1.19331E-04  4.38534E-06  1.19397E-04  4.38775E-06  1.19331E-04  4.38534E-06  7.16118E-04  2.63168E-05  2.36543E-05  8.69280E-07  2.36957E-05  8.70802E-07  2.36393E-05  8.68727E-07  2.36957E-05  8.70802E-07  2.36543E-05  8.69280E-07  2.36679E-04  8.69778E-06  4.31505E-05  1.58575E-06  4.31641E-05  1.58625E-06  4.31543E-05  1.58589E-06  4.31493E-05  1.58571E-06  4.31543E-05  1.58589E-06  4.31641E-05  1.58625E-06  4.31431E-05  1.58548E-06  6.04159E-04  2.22024E-05
  -49.5000  2.55242E-04  8.78453E-04  6.94344E-05  1.75691E-03  1.38869E-04  1.25116E-04  8.98327E-06  1.25188E-04  8.98831E-06  1.25116E-04  8.98327E-06  7.50840E-04  5.39097E-05  2.39857E-05  1.75074E-06  2.40291E-05  1.75385E-06  2.39700E-05  1.74961E-06  2.40291E-05  1.75385E-06  2.39857E-05  1.75074E-06  2.39999E-04  1.75176E-05  4.42026E-05  3.21017E-06  4.42169E-05  3.21119E-06  4.42066E-05  3.21045E-06  4.42014E-05  3.21008E-06  4.42066E-05  3.21045E-06  4.42169E-05  3.21119E-06  4.41951E-05  3.20962E-06  6.18892E-04  4.49463E-05
  -49.0000  3.73115E-04  7.70755E-04  9.77591E-05  1.54151E-03  1.95518E-04  1.31359E-04  1.38106E-05  1.31436E-04  1.38185E-05  1.31359E-04  1.38106E-05  7.88307E-04  8.28794E-05  2.43279E-05  2.64477E-06  2.43733E-05  2.64956E-06  2.43114E-05  2.64303E-06  2.43733E-05  2.64956E-06  2.43279E-05  2.64477E-06  2.43428E-04  2.64634E-05  4.52976E-05  4.87482E-06  4.53124E-05  4.87639E-06  4.53018E-05  4.87526E-06  4.52964E-05  4.87469E-06  4.53018E-05  4.87526E-06  4.53124E-05  4.87639E-06  4.52898E-05  4.87399E-06  6.34224E-04  6.82536E-05
  -48.5000  4.86674E-04  6.82081E-04  1.22825E-04  1.36416E-03  2.45650E-04  1.38105E-04  1.88859E-05  1.38190E-04  1.88969E-05  1.38105E-04  1.88859E-05  8.28800E-04  1.13337E-04  2.46809E-05  3.55178E-06  2.47286E-05  3.55832E-06  2.46637E-05  3.54941E-06  2.47286E-05  3.55832E-06  2.46809E-05  3.55178E-06  2.46965E-04  3.55392E-05  4.64378E-05  6.58138E-06  4.64532E-05  6.58352E-06  4.64422E-05  6.58198E-06  4.64366E-05  6.58120E-06  4.64422E-05  6.58198E-06  4.64532E-05  6.58352E-06  4.64297E-05  6.58025E-06  6.50190E-04  9.21477E-05
  -48.0000  5.97162E-04  6.08223E-04  1.45177E-04  1.21645E-03  2.90354E-04  1.45410E-04  2.42296E-05  1.45502E-04  2.42440E-05  1.45410E-04  2.42296E-05  8.72644E-04  1.45406E-04  2.50450E-05  4.47216E-06  2.50949E-05  4.48054E-06  2.50270E-05  4.46913E-06  2.50949E-05  4.48054E-06  2.50450E-05  4.47216E-06  2.50614E-04  4.47491E-05  4.76251E-05  8.33157E-06  4.76412E-05  8.33430E-06  4.76297E-05  8.33234E-06  4.76238E-05  8.33135E-06  4.76297E-05  8.33234E-06  4.76412E-05  8.33430E-06  4.76167E-05  8.33013E-06  6.66815E-04  1.16653E-04
  -47.5000  7.05604E-04  5.46061E-04  1.65244E-04  1.09212E-03  3.30489E-04  1.53337E-04  2.98646E-05  1.53439E-04  2.98828E-05  1.53337E-04  2.98646E-05  9.20226E-04  1.79224E-04  2.54203E-05  5.40634E-06  2.54728E-05  5.41664E-06  2.54015E-05  5.40262E-06  2.54728E-05  5.41664E-06  2.54203E-05  5.40634E-06  2.54375E-04  5.40972E-05  4.88622E-05  1.01272E-05  4.88789E-05  1.01306E-05  4.88670E-05  1.01282E-05  4.88609E-05  1.01269E-05  4.88670E-05  1.01282E-05  4.88789E-05  1.01306E-05  4.88534E-05  1.01255E-05  6.84137E-04  1.41794E-04
  -47.0000  8.12874E-04  4.93235E-04  1.83370E-04  9.86471E-04  3.66741E-04  1.61966E-04  3.58168E-05  1.62078E-04  3.58390E-05  1.61966E-04  3.58168E-05  9.72021E-04  2.14945E-04  2.58080E-05  6.35477E-06  2.58631E-05  6.36709E-06  2.57882E-05  6.35032E-06  2.58631E-05  6.36709E-06  2.58080E-05  6.35477E-06  2.58261E-04  6.35881E-05  5.01525E-05  1.19703E-05  5.01700E-05  1.19743E-05  5.01576E-05  1.19714E-05  5.01512E-05  1.19700E-05  5.01576E-05  1.19714E-05  5.01700E-05  1.19743E-05  5.01434E-05  1.19682E-05  7.02204E-04  1.67600E-04
  -46.5000  9.19736E-04  4.47986E-04  1.99834E-04  8.95972E-04  3.99667E-04  1.71382E-04  4.21149E-05  1.71505E-04  4.21417E-05  1.71382E-04  4.21149E-05  1.02854E-03  2.52743E-04  2.62088E-05  7.31792E-06  2.62667E-05  7.33238E-06  2.61881E-05  7.31271E-06  2.62667E-05  7.33238E-06  2.62088E-05  7.31792E-06  2.62278E-04  7.32266E-05  5.15002E-05  1.38629E-05  5.15184E-05  1.38675E-05  5.15055E-05  1.38642E-05  5.14988E-05  1.38625E-05  5.15055E-05  1.38642E-05  5.15184E-05  1.38675E-05  5.14908E-05  1.38604E-05  7.21075E-04  1.94099E-04
  -46.0000  1.02688E-03  4.08945E-04  2.14862E-04  8.17890E-04  4.29724E-04  1.81679E-04  4.87915E-05  1.81815E-04  4.88233E-05  1.81679E-04  4.87915E-05  1.09035E-03  2.92813E-04  2.66225E-05  8.29628E-06  2.66834E-05  8.31297E-06  2.66008E-05  8.29027E-06  2.66834E-05  8.31297E-06  2.66225E-05  8.29628E-06  2.66425E-04  8.30176E-05  5.29074E-05  1.58072E-05  5.29264E-05  1.58126E-05  5.29130E-05  1.58087E-05  5.29060E-05  1.58068E-05  5.29130E-05  1.58087E-05  5.29264E-05  1.58126E-05  5.28976E-05  1.58044E-05  7.40780E-04  2.21322E-04
  -45.5000  1.13493E-03  3.75042E-04  2.28645E-04  7.50084E-04  4.57289E-04  1.92971E-04  5.58831E-05  1.93122E-04  5.59204E-05  1.92971E-04  5.58831E-05  1.15813E-03  3.35373E-04  2.70498E-05  9.29034E-06  2.71138E-05  9.30939E-06  2.70270E-05  9.28350E-06  2.71138E-05  9.30939E-06  2.70498E-05  9.29034E-06  2.70708E-04  9.29659E-05  5.43777E-05  1.78056E-05  5.43976E-05  1.78116E-05  5.43835E-05  1.78073E-05  5.43762E-05  1.78051E-05  5.43835E-05  1.78073E-05  5.43976E-05  1.78116E-05  5.43675E-05  1.78024E-05  7.61367E-04  2.49302E-04
