    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.20524E-11  4.09374E-11  1.50442E-12  8.18748E-11  3.00884E-12  1.94753E-11  7.15705E-13  1.71245E-11  6.29314E-13  1.94753E-11  7.15705E-13  1.12150E-10  4.12145E-12  1.15940E-11  4.26070E-13  5.59123E-14  2.05474E-15  2.60940E-11  9.58938E-13  5.59123E-14  2.05474E-15  1.15940E-11  4.26070E-13  9.87875E-11  3.63037E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  4.17065E-12  1.53268E-13  9.23362E-12  3.39329E-13  4.17065E-12  1.53268E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.51498E-11  1.29173E-12
  -49.5000  2.17614E-11  2.96190E-11  2.59290E-12  5.92380E-11  5.18580E-12  1.61948E-11  1.31085E-12  1.42982E-11  1.15476E-12  1.61948E-11  1.31085E-12  9.33756E-11  7.55294E-12  9.60488E-12  7.79043E-13  6.73362E-14  4.52930E-15  2.17563E-11  1.75847E-12  6.73362E-14  4.52930E-15  9.60488E-12  7.79043E-13  8.22014E-11  6.65122E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.50061E-12  2.81914E-13  7.68876E-12  6.21886E-13  3.50061E-12  2.81914E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.93800E-11  2.37143E-12
  -49.0000  3.02099E-11  2.37419E-11  3.46540E-12  4.74839E-11  6.93080E-12  1.43850E-11  1.83949E-12  1.27791E-11  1.62438E-12  1.43850E-11  1.83949E-12  8.30981E-11  1.06067E-11  8.49604E-12  1.09127E-12  8.12978E-14  7.51694E-15  1.93868E-11  2.47092E-12  8.12978E-14  7.51694E-15  8.49604E-12  1.09127E-12  7.30831E-11  9.33697E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.13478E-12  3.97115E-13  6.84650E-12  8.73490E-13  3.13478E-12  3.97115E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.62321E-11  3.33544E-12
  -48.5000  3.79784E-11  2.04846E-11  4.21820E-12  4.09692E-11  8.43639E-12  1.34110E-11  2.33234E-12  1.20037E-11  2.06551E-12  1.34110E-11  2.33234E-12  7.76515E-11  1.34604E-11  7.88425E-12  1.38101E-12  9.83998E-14  1.11331E-14  1.81331E-11  3.13730E-12  9.83998E-14  1.11331E-14  7.88425E-12  1.38101E-12  6.81969E-11  1.18432E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.94280E-12  5.05261E-13  6.40097E-12  1.10872E-12  2.94280E-12  5.05261E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.45731E-11  4.23849E-12
  -48.0000  4.54236E-11  1.86719E-11  4.90437E-12  3.73437E-11  9.80875E-12  1.29769E-11  2.80923E-12  1.17137E-11  2.49598E-12  1.29769E-11  2.80923E-12  7.53348E-11  1.62289E-11  7.59006E-12  1.65994E-12  1.19410E-13  1.55213E-14  1.75997E-11  3.78408E-12  1.19410E-13  1.55213E-14  7.59006E-12  1.65994E-12  6.60373E-11  1.42700E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.86380E-12  6.10503E-13  6.21073E-12  1.33696E-12  2.86380E-12  6.10503E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.38767E-11  5.11594E-12
  -47.5000  5.27945E-11  1.77583E-11  5.55698E-12  3.55167E-11  1.11140E-11  1.29363E-11  3.28463E-12  1.17841E-11  2.92904E-12  1.29363E-11  3.28463E-12  7.53136E-11  1.89966E-11  7.52371E-12  1.93643E-12  1.45292E-13  2.08607E-14  1.75918E-11  4.43056E-12  1.45292E-13  2.08607E-14  7.52371E-12  1.93643E-12  6.58595E-11  1.66903E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.86765E-12  7.15887E-13  6.20617E-12  1.56503E-12  2.86765E-12  7.15887E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.38829E-11  5.99362E-12
  -47.0000  6.02872E-11  1.74718E-11  6.19906E-12  3.49436E-11  1.23981E-11  1.32176E-11  3.77037E-12  1.21572E-11  3.37581E-12  1.32176E-11  3.77037E-12  7.71849E-11  2.18331E-11  7.63967E-12  2.21718E-12  1.77261E-13  2.73749E-14  1.80137E-11  5.09255E-12  1.77261E-13  2.73749E-14  7.63967E-12  2.21718E-12  6.72951E-11  1.91633E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.93946E-12  8.23910E-13  6.35301E-12  1.79850E-12  2.93946E-12  8.23910E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.44638E-11  6.89265E-12
  -46.5000  6.80729E-11  1.76718E-11  6.84848E-12  3.53436E-11  1.36970E-11  1.37890E-11  4.27710E-12  1.28113E-11  3.84662E-12  1.37890E-11  4.27710E-12  8.07788E-11  2.48017E-11  7.91581E-12  2.50808E-12  2.16863E-13  3.53445E-14  1.88229E-11  5.78428E-12  2.16863E-13  3.53445E-14  7.91581E-12  2.50808E-12  7.01766E-11  2.17423E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.07254E-12  9.36824E-13  6.63582E-12  2.04237E-12  3.07254E-12  9.36824E-13  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.55618E-11  7.83203E-12
  -46.0000  7.63165E-11  1.82923E-11  7.52071E-12  3.65846E-11  1.50414E-11  1.46470E-11  4.81537E-12  1.37514E-11  4.35198E-12  1.46470E-11  4.81537E-12  8.60908E-11  2.79654E-11  8.34590E-12  2.81479E-12  2.66071E-13  4.51224E-14  2.00138E-11  6.51978E-12  2.66071E-13  4.51224E-14  8.34590E-12  2.81479E-12  7.44756E-11  2.44792E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.26588E-12  1.05684E-12  7.05216E-12  2.30153E-12  3.26588E-12  1.05684E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.71678E-11  8.83043E-12
  -45.5000  8.51889E-11  1.93124E-11  8.23043E-12  3.86247E-11  1.64609E-11  1.58081E-11  5.39631E-12  1.50022E-11  4.90330E-12  1.58081E-11  5.39631E-12  9.32366E-11  3.13918E-11  8.93452E-12  3.14313E-12  3.27401E-13  5.71542E-14  2.16066E-11  7.31381E-12  3.27401E-13  5.71542E-14  8.93452E-12  3.14313E-12  8.02610E-11  2.74287E-11  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  3.52242E-12  1.18629E-12  7.60864E-12  2.58114E-12  3.52242E-12  1.18629E-12  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.93070E-11  9.90744E-12
