    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.27593E-13  5.92188E-13  2.17625E-14  1.18438E-12  4.35250E-14  2.29303E-13  8.42675E-15  1.83794E-13  6.75431E-15  2.29303E-13  8.42675E-15  1.28480E-12  4.72156E-14  8.11764E-14  2.98318E-15  1.74687E-15  6.41963E-17  1.77901E-13  6.53773E-15  1.74687E-15  6.41963E-17  8.11764E-14  2.98318E-15  6.87494E-13  2.52650E-14  2.52360E-16  9.27407E-18  3.14465E-16  1.15564E-17  2.37307E-14  8.72086E-16  4.47172E-14  1.64333E-15  2.37307E-14  8.72086E-16  3.14465E-16  1.15564E-17  6.45923E-14  2.37372E-15  3.15304E-13  1.15872E-14
  -49.5000  2.62900E-13  5.79668E-13  4.30649E-14  1.15934E-12  8.61298E-14  2.54602E-13  1.77832E-14  2.05423E-13  1.43035E-14  2.54602E-13  1.77832E-14  1.42925E-12  9.97397E-14  8.82267E-14  6.22545E-15  2.12413E-15  1.42257E-16  1.94495E-13  1.36853E-14  2.12413E-15  1.42257E-16  8.82267E-14  6.22545E-15  7.50393E-13  5.28414E-14  3.05517E-16  2.05016E-17  3.78224E-16  2.54559E-17  2.58209E-14  1.82099E-15  4.87562E-14  3.43508E-15  2.58209E-14  1.82099E-15  3.78224E-16  2.54559E-17  6.99920E-14  4.94588E-15  3.42904E-13  2.41887E-14
  -49.0000  4.09128E-13  5.80886E-13  6.44121E-14  1.16177E-12  1.28824E-13  2.86463E-13  2.83105E-14  2.32659E-13  2.28535E-14  2.86463E-13  2.83105E-14  1.61117E-12  1.58949E-13  9.70454E-14  9.79180E-15  2.58938E-15  2.37415E-16  2.15169E-13  2.15926E-14  2.58938E-15  2.37415E-16  9.70454E-14  9.79180E-15  8.28877E-13  8.33021E-14  3.70819E-16  3.41290E-17  4.55966E-16  4.22123E-17  2.84145E-14  2.86520E-15  5.37799E-14  5.41146E-15  2.84145E-14  2.86520E-15  4.55966E-16  4.22123E-17  7.67309E-14  7.76569E-15  3.77245E-13  3.80522E-14
  -48.5000  5.69816E-13  5.94483E-13  8.62589E-14  1.18897E-12  1.72518E-13  3.26283E-13  4.03012E-14  2.66749E-13  3.26564E-14  3.26283E-13  4.03012E-14  1.83863E-12  2.26518E-13  1.07917E-13  1.37577E-14  3.16476E-15  3.53718E-16  2.40619E-13  3.04352E-14  3.16476E-15  3.53718E-16  1.07917E-13  1.37577E-14  9.25565E-13  1.17316E-13  4.51277E-16  5.07131E-17  5.51012E-16  6.24616E-17  3.15905E-14  4.02613E-15  5.99489E-14  7.61454E-15  3.15905E-14  4.02613E-15  5.51012E-16  6.24616E-17  8.50126E-14  1.08898E-14  4.19392E-13  5.34646E-14
  -48.0000  7.49051E-13  6.20078E-13  1.09046E-13  1.24016E-12  2.18093E-13  3.75924E-13  5.41162E-14  3.09357E-13  4.40250E-14  3.75924E-13  5.41162E-14  2.12241E-12  3.04515E-13  1.21219E-13  1.82124E-14  3.87831E-15  4.96243E-16  2.71762E-13  4.04223E-14  3.87831E-15  4.96243E-16  1.21219E-13  1.82124E-14  1.04391E-12  1.55679E-13  5.50694E-16  7.09507E-17  6.67510E-16  8.69922E-17  3.54527E-14  5.32900E-15  6.74745E-14  1.00942E-14  3.54527E-14  5.32900E-15  6.67510E-16  8.69922E-17  9.51074E-14  1.43850E-14  4.70746E-13  7.07642E-14
  -47.5000  9.51697E-13  6.58053E-13  1.33229E-13  1.31611E-12  2.66459E-13  4.37839E-13  7.02065E-14  3.62674E-13  5.73531E-14  4.37839E-13  7.02065E-14  2.47671E-12  3.95532E-13  1.37439E-13  2.32632E-14  4.76563E-15  6.71377E-16  3.09777E-13  5.18064E-14  4.76563E-15  6.71377E-16  1.37439E-13  2.32632E-14  1.18837E-12  1.99351E-13  6.73892E-16  9.57158E-17  8.10660E-16  1.16783E-16  4.01337E-14  6.80388E-15  7.66278E-14  1.29102E-14  4.01337E-14  6.80388E-15  8.10660E-16  1.16783E-16  1.07363E-13  1.83305E-14  5.33107E-13  9.03555E-14
  -47.0000  1.18369E-12  7.09512E-13  1.59303E-13  1.41902E-12  3.18607E-13  5.15286E-13  8.91429E-14  4.29619E-13  7.31413E-14  5.15286E-13  8.91429E-14  2.92038E-12  5.02854E-13  1.57206E-13  2.90404E-14  5.87222E-15  8.87177E-16  3.56185E-13  6.48959E-14  5.87222E-15  8.87177E-16  1.57206E-13  2.90404E-14  1.36468E-12  2.49502E-13  8.27035E-16  1.26109E-16  9.87024E-16  1.53056E-16  4.58032E-14  8.48712E-15  8.77565E-14  1.61352E-14  4.58032E-14  8.48712E-15  9.87024E-16  1.53056E-16  1.22226E-13  2.28222E-14  6.08781E-13  1.12728E-13
  -46.5000  1.45239E-12  7.76294E-13  1.87832E-13  1.55259E-12  3.75663E-13  6.12552E-13  1.11654E-13  5.14046E-13  9.20321E-14  6.12552E-13  1.11654E-13  3.47830E-12  6.30679E-13  1.81321E-13  3.57038E-14  7.25659E-15  1.15385E-15  4.12922E-13  8.00705E-14  7.25659E-15  1.15385E-15  1.81321E-13  3.57038E-14  1.58016E-12  3.07572E-13  1.01803E-15  1.63521E-16  1.20495E-15  1.97337E-16  5.26758E-14  1.04229E-14  1.01302E-13  1.98580E-14  5.26758E-14  1.04229E-14  1.20495E-15  1.97337E-16  1.40264E-13  2.79768E-14  7.00691E-13  1.38478E-13
  -46.0000  1.76706E-12  8.61050E-13  2.19475E-13  1.72210E-12  4.38949E-13  7.35347E-13  1.38677E-13  6.21108E-13  1.14857E-13  7.35347E-13  1.38677E-13  4.18360E-12  7.84424E-13  2.10810E-13  4.34510E-14  8.99385E-15  1.48437E-15  4.82475E-13  9.78012E-14  8.99385E-15  1.48437E-15  2.10810E-13  4.34510E-14  1.84417E-12  3.75344E-13  1.25703E-15  2.09716E-16  1.47499E-15  2.51542E-16  6.10231E-14  1.26655E-14  1.17828E-13  2.41881E-14  6.10231E-14  1.26655E-14  1.47499E-15  2.51542E-16  1.62195E-13  3.39374E-14  8.12554E-13  1.68339E-13
  -45.5000  2.13945E-12  9.67403E-13  2.55026E-13  1.93481E-12  5.10052E-13  8.91312E-13  1.71432E-13  7.57720E-13  1.42703E-13  8.91312E-13  1.71432E-13  5.08069E-12  9.71136E-13  2.46989E-13  5.25277E-14  1.11802E-14  1.89523E-15  5.68034E-13  1.18676E-13  1.11802E-14  1.89523E-15  2.46989E-13  5.25277E-14  2.16875E-12  4.55044E-13  1.55704E-15  2.66936E-16  1.81049E-15  3.18076E-16  7.11897E-14  1.52816E-14  1.38053E-13  2.92614E-14  7.11897E-14  1.52816E-14  1.81049E-15  3.18076E-16  1.88939E-13  4.08808E-14  9.49097E-13  2.03217E-13
