    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)  
  -50.0000  9.51654E-05  3.63850E-05  1.33712E-06  7.27700E-05  2.67425E-06  3.65339E-04  1.34260E-05  3.65594E-04  1.34353E-05  3.65320E-04  1.34253E-05  2.19250E-03  8.05731E-05  3.25109E-05  1.19475E-06  3.23521E-05  1.18892E-06  3.24335E-05  1.19191E-06  3.23526E-05  1.18894E-06  3.25044E-05  1.19451E-06  3.24307E-04  1.19181E-05
  -49.5000  1.84185E-04  3.62439E-05  2.66906E-06  7.24878E-05  5.33813E-06  3.36365E-04  2.57871E-05  3.36562E-04  2.58037E-05  3.36349E-04  2.57858E-05  2.01855E-03  1.54753E-04  3.32134E-05  2.41532E-06  3.30479E-05  2.40340E-06  3.31331E-05  2.40953E-06  3.30484E-05  2.40344E-06  3.32067E-05  2.41484E-06  3.31299E-04  2.40931E-05
  -49.0000  2.67831E-04  3.61252E-05  3.99664E-06  7.22503E-05  7.99328E-06  3.10843E-04  3.72104E-05  3.10991E-04  3.72324E-05  3.10830E-04  3.72086E-05  1.86533E-03  2.23303E-04  3.39413E-05  3.66264E-06  3.37686E-05  3.64438E-06  3.38576E-05  3.65377E-06  3.37692E-05  3.64444E-06  3.39343E-05  3.66190E-06  3.38542E-04  3.65343E-05
  -48.5000  3.46763E-04  3.60286E-05  5.32067E-06  7.20572E-05  1.06413E-05  2.88261E-04  4.78038E-05  2.88365E-04  4.78297E-05  2.88251E-04  4.78017E-05  1.72975E-03  2.86870E-04  3.46957E-05  4.93769E-06  3.45157E-05  4.91281E-06  3.46086E-05  4.92561E-06  3.45163E-05  4.91289E-06  3.46885E-05  4.93668E-06  3.46050E-04  4.92514E-05
  -48.0000  4.21545E-04  3.59542E-05  6.64196E-06  7.19084E-05  1.32839E-05  2.68177E-04  5.76591E-05  2.68242E-04  5.76874E-05  2.68169E-04  5.76567E-05  1.60918E-03  3.46006E-04  3.54784E-05  6.24149E-06  3.52907E-05  6.20971E-06  3.53875E-05  6.22608E-06  3.52914E-05  6.20983E-06  3.54709E-05  6.24021E-06  3.53838E-04  6.22547E-05
  -47.5000  4.92663E-04  3.59019E-05  7.96133E-06  7.18037E-05  1.59227E-05  2.50243E-04  6.68554E-05  2.50273E-04  6.68847E-05  2.50237E-04  6.68527E-05  1.50150E-03  4.01186E-04  3.62907E-05  7.57515E-06  3.60949E-05  7.53618E-06  3.61957E-05  7.55625E-06  3.60957E-05  7.53632E-06  3.62829E-05  7.57358E-06  3.61920E-04  7.55550E-05
  -47.0000  5.60540E-04  3.58716E-05  9.27958E-06  7.17431E-05  1.85592E-05  2.34164E-04  7.54608E-05  2.34162E-04  7.54900E-05  2.34160E-04  7.54579E-05  1.40497E-03  4.52818E-04  3.71340E-05  8.93980E-06  3.69298E-05  8.89332E-06  3.70348E-05  8.91725E-06  3.69306E-05  8.89349E-06  3.71259E-05  8.93794E-06  3.70310E-04  8.91636E-05
  -46.5000  6.25545E-04  3.58634E-05  1.05975E-05  7.17269E-05  2.11951E-05  2.19699E-04  8.35346E-05  2.19668E-04  8.35627E-05  2.19696E-04  8.35316E-05  1.31813E-03  5.01258E-04  3.80101E-05  1.03366E-05  3.77971E-05  1.02823E-05  3.79063E-05  1.03103E-05  3.77978E-05  1.02825E-05  3.80017E-05  1.03345E-05  3.79026E-04  1.03093E-04
  -46.0000  6.88004E-04  3.58777E-05  1.19160E-05  7.17553E-05  2.38320E-05  2.06646E-04  9.11287E-05  2.06588E-04  9.11547E-05  2.06645E-04  9.11257E-05  1.23976E-03  5.46818E-04  3.89204E-05  1.17669E-05  3.86981E-05  1.17045E-05  3.88117E-05  1.17366E-05  3.86989E-05  1.17047E-05  3.89117E-05  1.17645E-05  3.88082E-04  1.17354E-04
  -45.5000  7.48205E-04  3.59145E-05  1.32359E-05  7.18289E-05  2.64717E-05  1.94828E-04  9.82885E-05  1.94744E-04  9.83114E-05  1.94828E-04  9.82855E-05  1.16880E-03  5.89771E-04  3.98672E-05  1.32320E-05  3.96350E-05  1.31610E-05  3.97533E-05  1.31975E-05  3.96358E-05  1.31613E-05  3.98581E-05  1.32292E-05  3.97499E-04  1.31962E-04
