    Energy     Int_t       n(0,0)      Intn(0,0)    n_l(0)      Intn_l(0)      n(1,-1)     Intn(1,-1)    n(1,0)      Intn(1,0)     n(1,1)      Intn(1,1)    n_l(1)      Intn_l(1)      n(2,-2)     Intn(2,-2)    n(2,-1)     Intn(2,-1)    n(2,0)      Intn(2,0)     n(2,1)      Intn(2,1)     n(2,2)      Intn(2,2)    n_l(2)      Intn_l(2)      n(3,-3)     Intn(3,-3)    n(3,-2)     Intn(3,-2)    n(3,-1)     Intn(3,-1)    n(3,0)      Intn(3,0)     n(3,1)      Intn(3,1)     n(3,2)      Intn(3,2)     n(3,3)      Intn(3,3)    n_l(3)      Intn_l(3)  
  -50.0000  1.31312E-04  1.00963E-03  3.71033E-05  2.01927E-03  7.42067E-05  1.19314E-04  4.38471E-06  1.19379E-04  4.38711E-06  1.19336E-04  4.38553E-06  7.16059E-04  2.63147E-05  2.34827E-05  8.62972E-07  2.35156E-05  8.64184E-07  2.34660E-05  8.62359E-07  2.35228E-05  8.64447E-07  2.34801E-05  8.62879E-07  2.34934E-04  8.63368E-06  4.30627E-05  1.58253E-06  4.30763E-05  1.58303E-06  4.30648E-05  1.58260E-06  4.30614E-05  1.58248E-06  4.30657E-05  1.58264E-06  4.30746E-05  1.58296E-06  4.30552E-05  1.58225E-06  6.02922E-04  2.21570E-05
  -49.5000  2.54846E-04  8.77409E-04  6.93476E-05  1.75482E-03  1.38695E-04  1.25109E-04  8.98237E-06  1.25179E-04  8.98737E-06  1.25133E-04  8.98410E-06  7.50843E-04  5.39077E-05  2.38113E-05  1.73802E-06  2.38452E-05  1.74048E-06  2.37940E-05  1.73677E-06  2.38530E-05  1.74103E-06  2.38086E-05  1.73783E-06  2.38224E-04  1.73883E-05  4.41148E-05  3.20371E-06  4.41288E-05  3.20473E-06  4.41169E-05  3.20387E-06  4.41135E-05  3.20362E-06  4.41179E-05  3.20394E-06  4.41269E-05  3.20460E-06  4.41071E-05  3.20315E-06  6.17652E-04  4.48552E-05
  -49.0000  3.72547E-04  7.69914E-04  9.76414E-05  1.53983E-03  1.95283E-04  1.31361E-04  1.38098E-05  1.31438E-04  1.38176E-05  1.31388E-04  1.38125E-05  7.88375E-04  8.28799E-05  2.41507E-05  2.62554E-06  2.41856E-05  2.62928E-06  2.41327E-05  2.62364E-06  2.41941E-05  2.63015E-06  2.41477E-05  2.62524E-06  2.41622E-04  2.62677E-05  4.52097E-05  4.86514E-06  4.52242E-05  4.86669E-06  4.52118E-05  4.86537E-06  4.52083E-05  4.86499E-06  4.52129E-05  4.86548E-06  4.52221E-05  4.86648E-06  4.52018E-05  4.86429E-06  6.32982E-04  6.81169E-05
  -48.5000  4.85948E-04  6.81385E-04  1.22682E-04  1.36277E-03  2.45364E-04  1.38119E-04  1.88856E-05  1.38203E-04  1.88965E-05  1.38149E-04  1.88894E-05  8.28941E-04  1.13343E-04  2.45007E-05  3.52593E-06  2.45368E-05  3.53099E-06  2.44820E-05  3.52333E-06  2.45460E-05  3.53219E-06  2.44976E-05  3.52551E-06  2.45126E-04  3.52759E-05  4.63497E-05  6.56846E-06  4.63647E-05  6.57056E-06  4.63518E-05  6.56877E-06  4.63483E-05  6.56826E-06  4.63531E-05  6.56893E-06  4.63625E-05  6.57027E-06  4.63416E-05  6.56731E-06  6.48943E-04  9.19651E-05
  -48.0000  5.96286E-04  6.07635E-04  1.45012E-04  1.21527E-03  2.90024E-04  1.45438E-04  2.42303E-05  1.45529E-04  2.42446E-05  1.45471E-04  2.42354E-05  8.72874E-04  1.45420E-04  2.48619E-05  4.43959E-06  2.48994E-05  4.44603E-06  2.48424E-05  4.43628E-06  2.49092E-05  4.44759E-06  2.48586E-05  4.43905E-06  2.48743E-04  4.44171E-05  4.75370E-05  8.31541E-06  4.75526E-05  8.31809E-06  4.75393E-05  8.31581E-06  4.75356E-05  8.31517E-06  4.75406E-05  8.31601E-06  4.75502E-05  8.31771E-06  4.75287E-05  8.31396E-06  6.65568E-04  1.16424E-04
  -47.5000  7.04587E-04  5.45552E-04  1.65061E-04  1.09110E-03  3.30121E-04  1.53380E-04  2.98669E-05  1.53480E-04  2.98849E-05  1.53416E-04  2.98733E-05  9.20553E-04  1.79250E-04  2.52342E-05  5.36693E-06  2.52732E-05  5.37480E-06  2.52139E-05  5.36287E-06  2.52836E-05  5.37674E-06  2.52307E-05  5.36626E-06  2.52471E-04  5.36952E-05  4.87742E-05  1.01078E-05  4.87904E-05  1.01111E-05  4.87765E-05  1.01083E-05  4.87728E-05  1.01075E-05  4.87780E-05  1.01086E-05  4.87879E-05  1.01106E-05  4.87656E-05  1.01061E-05  6.82891E-04  1.41520E-04
  -47.0000  8.11723E-04  4.92783E-04  1.83170E-04  9.85566E-04  3.66340E-04  1.62027E-04  3.58213E-05  1.62137E-04  3.58433E-05  1.62067E-04  3.58292E-05  9.72462E-04  2.14988E-04  2.56191E-05  6.30841E-06  2.56597E-05  6.31778E-06  2.55979E-05  6.30357E-06  2.56708E-05  6.32013E-06  2.56154E-05  6.30761E-06  2.56326E-04  6.31150E-05  5.00651E-05  1.19477E-05  5.00819E-05  1.19516E-05  5.00675E-05  1.19483E-05  5.00636E-05  1.19473E-05  5.00690E-05  1.19486E-05  5.00792E-05  1.19510E-05  5.00561E-05  1.19456E-05  7.00965E-04  1.67280E-04
  -46.5000  9.18458E-04  4.47577E-04  1.99618E-04  8.95154E-04  3.99236E-04  1.71463E-04  4.21225E-05  1.71584E-04  4.21489E-05  1.71507E-04  4.21319E-05  1.02911E-03  2.52807E-04  2.60169E-05  7.26452E-06  2.60593E-05  7.27544E-06  2.59947E-05  7.25886E-06  2.60711E-05  7.27823E-06  2.60129E-05  7.26356E-06  2.60310E-04  7.26812E-05  5.14131E-05  1.38371E-05  5.14306E-05  1.38416E-05  5.14156E-05  1.38377E-05  5.14116E-05  1.38367E-05  5.14173E-05  1.38381E-05  5.14278E-05  1.38409E-05  5.14039E-05  1.38346E-05  7.19840E-04  1.93734E-04
  -46.0000  1.02548E-03  4.08567E-04  2.14633E-04  8.17134E-04  4.29266E-04  1.81784E-04  4.88029E-05  1.81918E-04  4.88342E-05  1.81833E-04  4.88142E-05  1.09107E-03  2.92903E-04  2.64278E-05  8.23572E-06  2.64722E-05  8.24828E-06  2.64045E-05  8.22921E-06  2.64846E-05  8.25152E-06  2.64236E-05  8.23461E-06  2.64425E-04  8.23987E-05  5.28210E-05  1.57782E-05  5.28392E-05  1.57834E-05  5.28236E-05  1.57790E-05  5.28194E-05  1.57778E-05  5.28253E-05  1.57794E-05  5.28362E-05  1.57826E-05  5.28114E-05  1.57754E-05  7.39552E-04  2.20912E-04
  -45.5000  1.13342E-03  3.74686E-04  2.28402E-04  7.49372E-04  4.56805E-04  1.93102E-04  5.58993E-05  1.93251E-04  5.59361E-05  1.93157E-04  5.59125E-05  1.15902E-03  3.35496E-04  2.68518E-05  9.22251E-06  2.68984E-05  9.23677E-06  2.68274E-05  9.21510E-06  2.69116E-05  9.24050E-06  2.68474E-05  9.22124E-06  2.68673E-04  9.22722E-05  5.42919E-05  1.77734E-05  5.43109E-05  1.77793E-05  5.42947E-05  1.77743E-05  5.42903E-05  1.77729E-05  5.42965E-05  1.77748E-05  5.43078E-05  1.77784E-05  5.42820E-05  1.77703E-05  7.60148E-04  2.48847E-04
