Energy fluotot bragg Monitor highharm
2.410000000000000000e+04 1.009825891070562608e-03 2.219777977289880511e+01 1.017007000000000000e+06 4.745061585042976149e-01
2.410500000000000000e+04 9.495293188086470796e-04 2.222230450345695374e+01 1.016293000000000000e+06 4.929540028194158152e-01
2.411000000000000000e+04 9.170272557048255325e-04 2.230009925331967580e+01 1.015237000000000000e+06 4.872668067927715674e-01
2.411500000000000000e+04 1.012218360068674588e-03 2.231798200891262240e+01 1.017567000000000000e+06 4.943880088282265883e-01
2.412000000000000000e+04 9.717054709575150733e-04 2.252099672840590827e+01 1.016769000000000000e+06 4.974320641618076855e-01
2.412500000000000000e+04 9.995453934016265002e-04 2.218570308827679227e+01 1.018463000000000000e+06 5.065123420995192305e-01
2.413000000000000000e+04 9.744786883182510054e-04 2.244771647339084808e+01 1.016954000000000000e+06 4.974879663991206846e-01
2.413500000000000000e+04 9.724829521088957296e-04 2.251001806381030335e+01 1.019041000000000000e+06 5.081703862788449211e-01
2.414000000000000000e+04 9.637276272214488756e-04 2.264965660940220360e+01 1.010659000000000000e+06 5.045682961693361834e-01
2.414500000000000000e+04 9.540384338378753897e-04 2.281911571956906215e+01 1.013586000000000000e+06 4.958504566003346659e-01
2.415000000000000000e+04 1.004672619401475496e-03 2.305573134499516641e+01 1.009284000000000000e+06 4.911484616699607342e-01
2.415500000000000000e+04 9.959517141975720873e-04 2.274311167069200934e+01 1.008081000000000000e+06 4.998697270074963783e-01
2.416000000000000000e+04 9.814675827030747840e-04 2.292867963307858403e+01 1.004618000000000000e+06 4.902997683524925598e-01
2.416500000000000000e+04 9.906506724251748237e-04 2.286568386712406920e+01 1.010447000000000000e+06 5.158998791519600058e-01
2.417000000000000000e+04 9.774733655909533143e-04 2.277521461411897263e+01 1.005654000000000000e+06 5.038998972999738646e-01
2.417500000000000000e+04 1.016906316261844334e-03 2.297260934509225194e+01 1.005009000000000000e+06 4.927821475660062456e-01
2.418000000000000000e+04 9.821705171536179810e-04 2.325607664630599913e+01 1.003899000000000000e+06 5.051299617135251996e-01
2.418500000000000000e+04 1.002220841606228782e-03 2.314759844234244213e+01 1.002773000000000000e+06 5.134143704554287035e-01
2.419000000000000000e+04 1.007582808841588681e-03 2.317012784355261701e+01 1.002399000000000000e+06 5.209108658445047446e-01
2.419500000000000000e+04 9.829865408763551349e-04 2.333516220339790337e+01 1.001031000000000000e+06 5.271782743796090687e-01
