Energy fluotot Monitor
2.410000000000000000e+04 7.912886210720976310e-04 1.721243000000000000e+06
2.410500000000000000e+04 7.371634439020342605e-04 1.720107000000000000e+06
2.411000000000000000e+04 7.246009892986038066e-04 1.718187000000000000e+06
2.411500000000000000e+04 7.766843212315081152e-04 1.716270000000000000e+06
2.412000000000000000e+04 7.708655860585621666e-04 1.718847000000000000e+06
2.412500000000000000e+04 7.760030946910213443e-04 1.716488000000000000e+06
2.413000000000000000e+04 7.639726344070668336e-04 1.717339000000000000e+06
2.413500000000000000e+04 7.529848388950472317e-04 1.715838000000000000e+06
2.414000000000000000e+04 7.580041064916517076e-04 1.703157000000000000e+06
2.414500000000000000e+04 7.546395379518583890e-04 1.705450000000000000e+06
2.415000000000000000e+04 7.921702760304677156e-04 1.700392000000000000e+06
2.415500000000000000e+04 7.659154102062809858e-04 1.698621000000000000e+06
2.416000000000000000e+04 7.754879701985976188e-04 1.694417000000000000e+06
2.416500000000000000e+04 7.831369607107665056e-04 1.699575000000000000e+06
2.417000000000000000e+04 7.798621987627323828e-04 1.693889000000000000e+06
2.417500000000000000e+04 7.963406140211479276e-04 1.692743000000000000e+06
2.418000000000000000e+04 7.735347046818365213e-04 1.690939000000000000e+06
2.418500000000000000e+04 7.860671957230385733e-04 1.689423000000000000e+06
2.419000000000000000e+04 7.923803567843573474e-04 1.688583000000000000e+06
2.419500000000000000e+04 7.554800470840775193e-04 1.686345000000000000e+06
2.420000000000000000e+04 7.723566376068234348e-04 1.684455000000000000e+06
2.420500000000000000e+04 8.020580214713903368e-04 1.683170000000000000e+06
2.421000000000000000e+04 7.909531163731456588e-04 1.678987000000000000e+06
2.421500000000000000e+04 7.726491731580732020e-04 1.677346000000000000e+06
2.422000000000000000e+04 7.953623978234183921e-04 1.673451000000000000e+06
2.422500000000000000e+04 8.003430382381455238e-04 1.676781000000000000e+06
2.423000000000000000e+04 8.000129150066992174e-04 1.672473000000000000e+06
2.423500000000000000e+04 8.040168514269037609e-04 1.670363000000000000e+06
2.424000000000000000e+04 7.968893092525023564e-04 1.665225000000000000e+06
2.424500000000000000e+04 8.114595115889381479e-04 1.667366000000000000e+06
2.425000000000000000e+04 8.176703565271719850e-04 1.659593000000000000e+06
2.425500000000000000e+04 8.151537750489344213e-04 1.657356000000000000e+06
2.426000000000000000e+04 8.335248620243312402e-04 1.666417000000000000e+06
2.426500000000000000e+04 8.393358656626915670e-04 1.652497000000000000e+06
2.427000000000000000e+04 8.674422049178951051e-04 1.647372000000000000e+06
2.427500000000000000e+04 8.306996424829258662e-04 1.644397000000000000e+06
2.428000000000000000e+04 8.451082449392224557e-04 1.645943000000000000e+06
2.428500000000000000e+04 8.712722646620503887e-04 1.641278000000000000e+06
2.429000000000000000e+04 8.258827002582536233e-04 1.639458000000000000e+06
2.429500000000000000e+04 8.774688352013395752e-04 1.637665000000000000e+06
2.430000000000000000e+04 8.769531930819743229e-04 1.635207000000000000e+06
2.430000000000000000e+04 8.960847331855773630e-04 1.636006000000000000e+06
2.430100000000000000e+04 8.866908257790201246e-04 1.634166000000000000e+06
2.430100000000000000e+04 8.562477010147094732e-04 1.633873000000000000e+06
2.430200000000000000e+04 8.889204731678984920e-04 1.632317000000000000e+06
2.430200000000000000e+04 8.553617579767391118e-04 1.632058000000000000e+06
2.430300000000000000e+04 8.843847822033823556e-04 1.630512000000000000e+06
2.430300000000000000e+04 8.746947615843387496e-04 1.630283000000000000e+06
2.430400000000000000e+04 8.769139506692916588e-04 1.628438000000000000e+06
2.430400000000000000e+04 8.802876342914370787e-04 1.629013000000000000e+06
2.430500000000000000e+04 8.811787967814512955e-04 1.623961000000000000e+06
2.430500000000000000e+04 8.904221547355820748e-04 1.627318000000000000e+06
2.430600000000000000e+04 8.573876493124593049e-04 1.625869000000000000e+06
2.430600000000000000e+04 8.735160991477636380e-04 1.625614000000000000e+06
2.430700000000000000e+04 8.607865544893882103e-04 1.624096000000000000e+06
2.430700000000000000e+04 8.893771582517368077e-04 1.620235000000000000e+06
2.430800000000000000e+04 9.166180253799413244e-04 1.618995000000000000e+06
2.430800000000000000e+04 8.775862856917016020e-04 1.619214000000000000e+06
2.430900000000000000e+04 8.877592253853481977e-04 1.620935000000000000e+06
2.430900000000000000e+04 8.978649327280089319e-04 1.620511000000000000e+06
2.431000000000000000e+04 8.735043400316410724e-04 1.618767000000000000e+06
2.431000000000000000e+04 8.530025256533882785e-04 1.618987000000000000e+06
2.431100000000000000e+04 9.379268046125979622e-04 1.617397000000000000e+06
2.431100000000000000e+04 8.930631137103125800e-04 1.616907000000000000e+06
2.431200000000000000e+04 8.839023919215775434e-04 1.615563000000000000e+06
2.431200000000000000e+04 8.691388839365302935e-04 1.615392000000000000e+06
2.431300000000000000e+04 8.627630358102443163e-04 1.613421000000000000e+06
2.431300000000000000e+04 8.861226988694789275e-04 1.613772000000000000e+06
2.431400000000000000e+04 9.097189235178758946e-04 1.612586000000000000e+06
2.431400000000000000e+04 8.921093609444704720e-04 1.611910000000000000e+06
