Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.900000000000000000e+03 9.351280000000000000e+05 9.166048467620017631e-08 -1.300719595857738648e-24 -1.631369009277360059e-24 3.116581536076161694e-07 1.392562077035416337e+02 5.486100256587836583e-07 5.421717668597236545e-04
7.901000000000000000e+03 9.445470000000000000e+05 6.049763234953595954e-08 -6.564290814679878176e-25 -1.024880396957672785e-24 2.054744982415691485e-07 1.374462227114985922e+02 -5.385342022279011908e-07 4.615969348269602975e-04
7.902000000000000000e+03 9.433510000000000000e+05 9.086149875739329214e-08 -1.975375794376549618e-26 -4.302752833740996673e-25 2.765508876118457920e-07 1.376258846741490629e+02 5.910630155856482461e-07 5.321455110557996027e-04
7.903000000000000000e+03 9.339860000000000000e+05 1.529542657568131018e-07 1.487317803785399686e-25 -3.086040462127219575e-25 2.264269407955258405e-07 1.381131667018786402e+02 4.109447728364941087e-07 5.182090523840830179e-04
7.904000000000000000e+03 9.425620000000000000e+05 1.212500761602040942e-07 -7.153250704666272950e-25 -1.224747405668460737e-24 2.588661469686872969e-07 1.379505708583087653e+02 -3.675170728034594196e-07 5.134940725384648996e-04
7.905000000000000000e+03 9.427810000000000000e+05 6.061095539988304485e-08 4.060952530442755676e-25 -1.612719245466918450e-25 4.115770793325051944e-07 1.370111608380362611e+02 -3.953598705013968844e-07 4.942823412860465919e-04
7.906000000000000000e+03 9.416880000000000000e+05 6.068130542478733455e-08 6.116488331348407676e-26 -5.706558911894265898e-25 1.957675000405733241e-07 1.369575632428641825e+02 3.731552324756736951e-07 5.224660397074188528e-04
7.907000000000000000e+03 9.410950000000000000e+05 6.071954174961840745e-08 -5.400302948318753123e-26 -7.575078259483626363e-25 3.838424220115265558e-07 1.373306704493557220e+02 -4.384599918892019966e-07 5.004808228712295760e-04
7.908000000000000000e+03 9.498160000000000000e+05 9.024304256222859049e-08 3.008101418740952796e-08 3.008101418740952796e-08 3.729957319984741174e-07 1.379963349311718446e+02 -2.700027901655518666e-07 5.106252158312737629e-04
7.909000000000000000e+03 9.399620000000000000e+05 6.079273113472368468e-08 -5.406812404912216917e-26 -9.259221722150308472e-25 3.592071373824205947e-07 1.379625643538724376e+02 1.246147239505172741e-07 5.149144327111081524e-04
7.910000000000000000e+03 9.483690000000000000e+05 9.038073335830854684e-08 -9.110099676524132026e-25 -1.881402292275298990e-24 2.159911052131269382e-07 1.366073514297836198e+02 5.619465822846304550e-07 5.324931540360351061e-04
