Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.901000000000000000e+03 7.627304829622476827e+05 3.947566926486216602e-07 1.825206520602841739e-08 1.920734214932766123e-08 3.483876568511152121e-06 7.435810727412058618e+00 6.236385480298913873e-07 4.589182180487050462e-03
7.902000000000000000e+03 7.623051203221004689e+05 4.305322945087540224e-07 1.923138994915456154e-08 5.671169698709463040e-08 3.556404295765332350e-06 7.344820066678950710e+00 6.122200061678753466e-07 4.590905219377019314e-03
7.903000000000000000e+03 7.618221717691583326e+05 5.088579887619058968e-07 5.676671177310114409e-08 5.574550317486249286e-08 3.361064927605914253e-06 7.307739430832153715e+00 2.871553315638076430e-09 4.539424738495168032e-03
7.904000000000000000e+03 7.613473544899941189e+05 4.268588529272552955e-07 5.576819628259103923e-08 1.824073947430365316e-08 3.873591510078439881e-06 7.312865135684426754e+00 -1.505813547091928020e-06 4.432889755109733175e-03
7.905000000000000000e+03 7.608440868011061102e+05 3.401422669023495338e-07 1.823321691590626284e-08 5.795720413363501128e-08 3.789135089076561171e-06 7.219354133781140881e+00 -1.226748633495525459e-06 4.481858880569428161e-03
7.906000000000000000e+03 7.602507470985059626e+05 2.779606944312702248e-07 -5.138741735135975522e-25 5.470042869872247856e-08 3.670455953279496775e-06 7.209218724125273425e+00 -3.636681603926213927e-07 4.571460067429271648e-03
7.907000000000000000e+03 7.597823059458710486e+05 3.054125578882811135e-07 1.937419013594983987e-08 -3.210589021186739086e-19 3.762620205996827450e-06 7.227093080061426811e+00 -1.646006880272549968e-06 4.537779741756071093e-03
7.908000000000000000e+03 7.591809212209221441e+05 4.127952020119406794e-07 3.763455495956950237e-08 3.881945750254714419e-08 3.395077800655897684e-06 7.221665295854617916e+00 1.562782281477981153e-07 4.552964989840677795e-03
7.909000000000000000e+03 7.586100531991268508e+05 3.571937490320427054e-07 1.822793692945615728e-08 5.589080494048074317e-08 3.362362008224362959e-06 7.202559618060337954e+00 9.737715356218770580e-07 4.587679588013487617e-03
7.910000000000000000e+03 7.581104333611887414e+05 3.002564405459477475e-07 -1.401310562677745116e-23 1.822129465752841259e-08 3.545124804605011421e-06 7.160879869849734014e+00 -2.450141519865799425e-08 4.562050456202964947e-03
7.911000000000000000e+03 7.574570062269634800e+05 5.175377983899157555e-07 -2.068111346406420938e-23 1.949971962981970477e-08 3.713788134759909962e-06 7.136210733932798256e+00 5.078233267458117145e-07 4.614997897393138988e-03
7.912000000000000000e+03 7.568214357055138098e+05 7.355071027211950020e-07 -1.046394949714319145e-23 7.681292011960859800e-08 3.729850437093698104e-06 7.080480273887413745e+00 4.654684994018289557e-08 4.608280221660179983e-03
7.913000000000000000e+03 7.563294232278498821e+05 6.395258693267222137e-07 -4.798403313326503894e-24 5.465948888246241969e-08 3.556575633364595574e-06 7.049283468259023522e+00 -1.372603650671483782e-07 4.655249204792466164e-03
7.914000000000000000e+03 7.558413080890702549e+05 4.103167409427936919e-07 -6.186506807515447117e-24 -5.465064050149807085e-19 3.175191253033806393e-06 7.078363880916598738e+00 1.447997394096404650e-07 4.666929044183084491e-03
7.915000000000000000e+03 7.554855759781635134e+05 3.039439829154436155e-07 3.921357829756329717e-08 -5.894442703001076020e-19 3.017913620930344360e-06 7.077906670359613628e+00 6.491799970129556164e-07 4.623755207582628396e-03
7.916000000000000000e+03 7.551101683215351077e+05 2.423496439975114985e-07 3.639995988285850871e-08 5.891236839285040337e-08 3.167886482467467395e-06 7.039242616832292576e+00 9.569403581977453138e-07 4.636627682751532330e-03
7.917000000000000000e+03 7.544342391012663720e+05 3.088707849308366640e-07 -1.205884536201823335e-23 5.459448795026342549e-08 3.531692193117091667e-06 7.020627149670821687e+00 -1.126973374257108747e-06 4.583809702798335474e-03
7.918000000000000000e+03 7.498310152982764412e+05 4.771633225372042822e-07 3.980794057077334564e-08 -7.392042913673048741e-19 3.535811244430230283e-06 7.034542412224052299e+00 -1.983129929996684774e-06 4.564268985905385774e-03
7.919000000000000000e+03 7.495251052765733330e+05 4.166173167050424708e-07 3.676780078293532165e-08 3.947258035830582630e-08 3.409573190942470990e-06 7.043772204215617450e+00 -5.646698515977041161e-07 4.616744117095842453e-03
7.920000000000000000e+03 7.525890425439717947e+05 4.800358598449510620e-07 -1.420597467212690508e-23 5.616292327954506265e-08 3.685343837452590655e-06 7.045856121044388409e+00 -1.529248596275675980e-06 4.558111325778673242e-03
7.921000000000000000e+03 7.519955315397109371e+05 5.089123904925864615e-07 3.959763095124236135e-08 1.819533876537081880e-08 3.570290808764041555e-06 6.946783715959966798e+00 -1.609759016120992529e-06 4.493171289718551030e-03
7.922000000000000000e+03 7.472335705644926056e+05 3.604874068435152535e-07 5.643327677923429450e-08 -9.984204492390017271e-19 3.671959484565287072e-06 6.903304643646534622e+00 -1.274418470168029481e-07 4.545483310615791236e-03
7.923000000000000000e+03 7.430616140070940601e+05 3.477327199835734084e-07 1.838841704527416534e-08 -1.076106189227763656e-18 3.722268873429703182e-06 6.947387311500257567e+00 1.141630975098630451e-06 4.602639840734098174e-03
7.924000000000000000e+03 7.464496935032460606e+05 5.021736578207023794e-07 -1.375217072867912591e-23 1.990029660144012287e-08 3.203336307773391890e-06 6.941800592053474439e+00 1.117806664725797489e-06 4.584732103066974443e-03
