Energy Monitor Ho_a Ho_g2 Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.900000000000000000e+03 nan nan nan nan nan nan nan nan
7.901000000000000000e+03 9.008478646604322130e+05 2.339621145332453874e-07 6.084021735342803314e-09 6.402447383108989625e-09 1.576904878640258869e-06 6.929695286494235518e+01 -3.416313749588456146e-07 2.134833636711916307e-03
7.902000000000000000e+03 8.980796444681164576e+05 2.216652112740051705e-07 6.410463316384852744e-09 1.890389899569795867e-08 1.553751697642188049e-06 6.938849649720872037e+01 2.954671807726885205e-07 2.149110159216086145e-03
7.903000000000000000e+03 8.936504731646360597e+05 2.671267543261562449e-07 1.892223725770037916e-08 1.858183439162055853e-08 1.526270333531550402e-06 6.951062769700992305e+01 -2.162269437994080164e-07 2.131032160613780674e-03
7.904000000000000000e+03 8.961632551146635087e+05 2.231402678263941035e-07 1.858939876086367643e-08 6.080246491434252441e-09 1.677244873662300194e-06 6.948731406253300236e+01 -3.155794841720719955e-07 2.132804478943237363e-03
7.905000000000000000e+03 8.960764919340993511e+05 1.562774993860897676e-07 6.077738971968753454e-09 1.931906804454467620e-08 1.774340924317298233e-06 6.913750393647943326e+01 -3.963816551338853376e-07 2.135560923474428326e-03
7.906000000000000000e+03 8.954467640987486811e+05 1.322301072289161642e-07 -1.075816907642694171e-24 1.823347623290713882e-08 1.600676044251786797e-06 6.914570145671039825e+01 1.948388553196561179e-07 2.179892370455753427e-03
7.907000000000000000e+03 8.947711458122436889e+05 1.251035269674179624e-07 6.458063378649946623e-09 -1.074074696232671719e-19 1.668026473206647828e-06 6.920393000177385545e+01 -8.313207597441387820e-07 2.133184372813094407e-03
7.908000000000000000e+03 8.973033297844749177e+05 2.252906697994106564e-07 2.257185638232634234e-08 2.296682389665179943e-08 1.507085104339732109e-06 6.947811283234014468e+01 4.142523538305937907e-07 2.174790155816745153e-03
7.909000000000000000e+03 8.937088657229030505e+05 1.988737829172382288e-07 1.438137072384459015e-08 1.863026831349311894e-08 1.482579808110601139e-06 6.938732837957692823e+01 5.903886249714750237e-07 2.175629751658716710e-03
7.910000000000000000e+03 8.961982159419059753e+05 1.883958485112822883e-07 1.315689608942702655e-09 6.073764885842299064e-09 1.555287426669079033e-06 6.896078021372980515e+01 1.924170458769584355e-07 2.163498272946597859e-03
7.911000000000000000e+03 8.956245546530944994e+05 2.624640448843562772e-07 -8.094084155469802025e-24 6.499906543272684298e-09 1.673447516172632020e-06 6.906222200807586376e+01 3.636019694877408368e-07 2.172360711172630250e-03
7.912000000000000000e+03 8.951788401174647734e+05 3.725796461834883581e-07 -4.994300045060917851e-24 3.564579512423099168e-08 1.681914143917127357e-06 6.911414763982283205e+01 -1.533478705933272130e-07 2.166645691667616006e-03
7.913000000000000000e+03 8.944826465313486988e+05 2.987896610897513251e-07 -1.943100188004503217e-24 1.821982962748681700e-08 1.582910473003570137e-06 6.937171336223728701e+01 -1.902563340472572655e-07 2.173816422885467819e-03
7.914000000000000000e+03 8.941176486701251706e+05 2.342882614082660495e-07 -3.676024125762234591e-24 8.692309264359168369e-09 1.518257018910772256e-06 6.920020041812291822e+01 -3.664591653049763855e-07 2.174637481387246569e-03
7.915000000000000000e+03 8.937218672490696190e+05 2.058395517292424625e-07 1.307119276585442963e-08 9.569093645326974665e-10 1.361889472417329498e-06 6.921854351239035452e+01 2.813326847275171151e-07 2.176885159565419836e-03
7.916000000000000000e+03 8.933798719470325159e+05 2.229854124852451314e-07 1.213331996095283458e-08 1.963745613094928411e-08 1.470825992333855510e-06 6.956832460249252392e+01 2.699949970289547284e-07 2.178805160516929414e-03
7.917000000000000000e+03 8.928674049296452431e+05 1.933822614812127296e-07 -3.529562713897204822e-24 1.819816265008688536e-08 1.553040559326536553e-06 6.942326379552331161e+01 -8.577828425176154629e-07 2.166023743007217377e-03
7.918000000000000000e+03 8.912280421356527368e+05 2.756748787290490326e-07 1.326931352359111356e-08 -2.474124879328354103e-19 1.531538895053751682e-06 6.945485990542374566e+01 -6.480995852349451979e-07 2.153080791311908718e-03
7.919000000000000000e+03 8.937758345161243342e+05 2.616887160542499824e-07 1.225593359431177113e-08 2.223684824279705479e-08 1.526983451855330856e-06 6.931721664309488062e+01 1.348330896152300255e-07 2.185044153796064561e-03
7.920000000000000000e+03 8.912159474176923977e+05 2.476496394831648363e-07 9.157685025734828491e-09 1.931685610302534590e-08 1.580485043764922001e-06 6.978277017915135616e+01 -3.039819942516065642e-08 2.191333186787641513e-03
7.921000000000000000e+03 8.907238124187486246e+05 2.666295996851306732e-07 1.372269363403545122e-08 1.529854250501654762e-08 1.507645520953055140e-06 6.947381008887346354e+01 -8.284748060084229715e-07 2.130418978357482510e-03
7.922000000000000000e+03 8.887865994206737960e+05 2.397473775630049334e-07 1.881109225974476594e-08 4.508630220251966265e-10 1.517860566394474046e-06 6.924572596697846905e+01 3.419776438825708718e-07 2.178302814684425406e-03
7.923000000000000000e+03 8.868740846268330934e+05 2.459388127365383157e-07 6.129472348424720400e-09 9.396403229111635375e-09 1.628255880452745232e-06 6.948577818880953316e+01 3.797596357054715137e-07 2.171334915545781574e-03
7.924000000000000000e+03 8.879535203183735721e+05 2.673911567654982162e-07 -5.627862081001107012e-24 6.939282970586268234e-09 1.443504561283761705e-06 6.968695121123676017e+01 4.081724460149739679e-07 2.166905355238229244e-03
7.925000000000000000e+03 8.882865346749197925e+05 3.100691511852066793e-07 -3.842877580892837025e-24 6.065993617649926582e-09 1.544767026912459724e-06 6.962896724881022692e+01 -2.411586292682421788e-07 2.174036615924667890e-03
7.926000000000000000e+03 8.863264290098930942e+05 2.947648451461027804e-07 2.695073007334937812e-08 -4.508969519425305464e-19 1.484345950424217552e-06 6.948238922783319538e+01 -6.249280056585850448e-07 2.136046872076163405e-03
7.927000000000000000e+03 8.848727245492204092e+05 3.322685934497437122e-07 1.959238251992318985e-08 1.346453017519583220e-08 1.181848689063258294e-06 6.947932266090744235e+01 2.567085096238259137e-07 2.158864691424186490e-03
7.928000000000000000e+03 8.853736024308650522e+05 2.415792555018415779e-07 1.225143618566388802e-08 3.227680594346783936e-08 1.251677464840972858e-06 6.971120971580805303e+01 2.803734053793113382e-07 2.170755086111172353e-03
7.929000000000000000e+03 8.846852617608926957e+05 2.372363247935690267e-07 6.755759804366977398e-09 3.807037716538377902e-08 1.486292728800277946e-06 6.958102722359781467e+01 -2.261004006343124163e-07 2.166455083455151500e-03
7.930000000000000000e+03 8.796266281089551048e+05 2.944480757074588033e-07 6.126669865207296857e-09 1.335061591755576326e-10 1.574384283972330897e-06 6.959818064858991704e+01 4.865316487982866765e-07 2.227866123690448296e-03
7.931000000000000000e+03 8.793382036093116039e+05 3.078627645956335416e-07 2.710477138872190199e-08 1.647840075184013432e-08 1.389260018591236620e-06 6.954265540456037797e+01 1.486462375099200975e-06 2.235328190107547294e-03
7.932000000000000000e+03 8.787298083548831055e+05 3.131996870779899778e-07 2.449910805168502191e-08 1.290763023594399871e-08 1.431613170114671219e-06 6.969154829862146983e+01 4.979814942757894107e-08 2.183814630752051351e-03
7.933000000000000000e+03 8.814975617894510506e+05 3.693900389773211529e-07 3.526878089834915115e-10 1.970895331777786631e-08 1.381513129010637790e-06 6.942441869200773397e+01 2.608332660249156404e-09 2.181687102753718591e-03
7.934000000000000000e+03 8.806180755815036828e+05 3.348494070381803048e-07 2.301788433987791334e-08 1.224123872745316522e-08 1.234615813014180052e-06 6.964916886856046574e+01 8.175649780751968606e-07 2.227989138899317493e-03
7.935000000000000000e+03 8.771660557146505453e+05 3.425047954843850880e-07 2.587353475400990728e-08 -8.798368444436379233e-19 1.322217469882587547e-06 6.972814700602465621e+01 4.832428955570377291e-08 2.232085985938893433e-03
7.936000000000000000e+03 8.767695938114868477e+05 3.614952126117311089e-07 1.224334756215276546e-08 -9.472634303817530970e-19 1.308325681278781538e-06 6.955762994395472276e+01 3.334886973069334945e-07 2.214570975476553173e-03
7.937000000000000000e+03 8.804464565668493742e+05 3.233381414579493309e-07 -5.706865477989855858e-24 -1.019769996957973590e-18 1.391578419759665211e-06 6.972620627136194571e+01 1.312743495758422303e-07 2.221949888814423509e-03
7.938000000000000000e+03 8.769501261806281982e+05 2.966757889305586025e-07 1.369373683208171421e-08 1.369373683098399260e-08 1.382308365200960307e-06 6.992364134379548091e+01 2.074226822560519472e-07 2.219295414278477010e-03
7.939000000000000000e+03 8.754280305662895553e+05 3.861392801201024138e-07 1.909263529030735452e-08 1.223388501332293189e-08 1.346371395652690591e-06 6.986636707365488519e+01 -2.726948836814817011e-07 2.199072989497353678e-03
