Energy Monitor Ho_a Ho_g1 Ho_b1 bragg Ho_b2 fluotot
7.800000000000000000e+03 1.611300000000000000e+05 3.191744022129425043e-06 -1.167016167108940356e-22 1.688077949481784767e-04 4.242495027642336254e+02 -3.989703670786952976e-06 6.851610500837794493e-02
7.810000000000000000e+03 1.609770000000000000e+05 3.372265248185410458e-06 -3.364411617142470835e-23 1.620462195575410390e-04 4.325586805916863113e+02 -1.585497940350166009e-06 6.801592774122931784e-02
7.820000000000000000e+03 1.599900000000000000e+05 2.678738849749537838e-06 -4.452495641981194832e-23 1.530452796156902575e-04 4.350139259646720689e+02 -4.228602669033219673e-06 6.654165885367840927e-02
7.830000000000000000e+03 1.595460000000000000e+05 2.686193502635155853e-06 -3.819310505147278927e-23 1.429054943401902845e-04 4.380831366636300004e+02 -3.603536485750408929e-07 6.870745741040197585e-02
7.840000000000000000e+03 1.582360000000000000e+05 2.888994016171143953e-06 1.187288884624975950e-22 1.336159732479154057e-04 4.448722314208527564e+02 -4.921842191614003476e-06 6.844207386435446905e-02
7.850000000000000000e+03 1.606290000000000000e+05 2.490210360520205064e-06 -1.261367664215824664e-23 1.197079694735784128e-04 4.468171416678567311e+02 -3.532968511229256782e-06 6.762788786582733802e-02
7.860000000000000000e+03 1.592640000000000000e+05 1.614569878584344914e-06 -5.512047199301487523e-23 1.171460145239530508e-04 4.505945419603793880e+02 5.031091608620361045e-07 7.008489049628272016e-02
7.870000000000000000e+03 1.587050000000000000e+05 1.620256810704496572e-06 -5.821873119273988812e-23 1.065768924374513354e-04 4.559600728922758321e+02 -3.534646228773642186e-06 6.820201001858804124e-02
7.880000000000000000e+03 1.588960000000000000e+05 3.416430513399599713e-06 1.344381225141756832e-22 1.044708488571140969e-04 4.622955399808920447e+02 1.074913525786182428e-06 6.886265230087600109e-02
7.890000000000000000e+03 1.564050000000000000e+05 2.374787068371033257e-06 -1.593803196885371288e-22 8.859782524307315574e-05 4.663595894045383261e+02 2.926352551984261587e-06 6.974201592020759510e-02
7.900000000000000000e+03 1.553820000000000000e+05 2.758179380954219746e-06 -4.204398741481426878e-23 7.778065854290899708e-05 4.705428563077185800e+02 2.004549659251575423e-06 6.952542765571287364e-02
7.910000000000000000e+03 1.565410000000000000e+05 2.555241118940086275e-06 -1.628109830299656476e-22 7.209430299866671603e-05 4.719922376689724501e+02 -2.356458859188183784e-06 6.895318159459809526e-02
7.920000000000000000e+03 1.553390000000000000e+05 3.126801934570749747e-06 6.938265740919057306e-25 7.412359880188307314e-05 4.710569201237780135e+02 -1.270976101461993588e-06 6.971204913125483849e-02
7.930000000000000000e+03 1.529720000000000000e+05 3.735510887146480224e-06 -8.292514117475165288e-23 6.144915409355960893e-05 4.728535672688324212e+02 7.801007941650689274e-06 7.008472138692103948e-02
7.940000000000000000e+03 1.521170000000000000e+05 2.253904184654856911e-06 -4.978189764298681195e-23 5.597195391892894478e-05 4.808516483889441702e+02 -2.253175257092170959e-06 6.941367500016427938e-02
7.950000000000000000e+03 1.527760000000000000e+05 2.805227447841470889e-06 -1.236606803560903977e-22 6.059291287337578035e-05 4.849180371596958139e+02 3.808373594647352939e-06 6.938917107399056317e-02
7.960000000000000000e+03 1.516710000000000000e+05 3.767553266139020791e-06 -2.029058703664366185e-22 5.199223507271849250e-05 4.852316081730153883e+02 -7.055436536996606903e-06 6.837826611547330458e-02
7.970000000000000000e+03 1.498970000000000000e+05 4.765176850008434132e-06 7.308717861213670423e-23 4.460205531607894469e-05 4.923104727743108811e+02 1.053589320493237376e-05 6.997471597163375245e-02
7.980000000000000000e+03 1.507570000000000000e+05 5.496072677032765434e-06 -1.809018832439728881e-22 3.885154823419713257e-05 4.974326851713361748e+02 3.173315398810128488e-06 7.059042034532367338e-02
7.990000000000000000e+03 1.488600000000000000e+05 5.758046870501525404e-06 -3.142712870247097665e-22 4.049826298919406557e-05 5.070466892179314868e+02 1.741987605345847196e-06 7.065699314792421581e-02
8.000000000000000000e+03 1.477470000000000000e+05 7.348469246172752014e-06 -7.172703029832160427e-22 3.886953469686113853e-05 5.126016370583993194e+02 -8.276912889531044728e-06 6.974760908850925756e-02
8.010000000000000000e+03 1.471780000000000000e+05 9.318162846543446282e-06 -1.377363505824990935e-21 3.785503656408275105e-05 5.153463642598998149e+02 -4.451855869799879045e-07 7.187215480574568605e-02
8.020000000000000000e+03 1.474530000000000000e+05 1.530754109541926529e-05 -3.379632701076620154e-21 3.371534367851838839e-05 5.213659459327110426e+02 1.998263045212907325e-06 7.160247672139609387e-02
8.030000000000000000e+03 1.453300000000000000e+05 2.005288456812574186e-05 -8.118637092128337908e-21 3.401126500280150561e-05 5.261181194640955709e+02 -1.307173084672496027e-05 7.282735842565205009e-02
8.040000000000000000e+03 1.446510000000000000e+05 3.357835657646927516e-05 -2.032051983183872488e-20 3.239323810906448144e-05 5.277747471994315447e+02 -5.821370754124704713e-06 7.436519623092847919e-02
